"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"525
Linear Programming Methods","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"542
Intro to Clinical Trials I","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","68","3.456","30.9","32.4","33.8","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"575
Statistical Meths-Spatial Data","001","","16","3.692","37.5","37.5","6.3",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"610
Intro-Statistical Inference","001","","20","3.675","50.0","35.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"632","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"632","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","","8","3.214","25.0","12.5","25.0","25.0",".",".",".","12.5",".",".",".",".",".",".",".","."
"642
Statistcl Mthds-Epidemiolgy","001","","19","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","231","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","262","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","299","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692","001","","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"692","002","","6","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"692","005","","6","3.300","16.7","16.7","50.0",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"692","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"692","007","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"692","008","","11","3.778","63.6",".","18.2",".",".",".",".",".",".",".",".",".",".",".","18.2","."
"Special Topics-Statistics","Course Total","","48","3.735","62.5","10.4","18.8","2.1",".",".",".","2.1",".",".",".",".",".",".","4.2","."
"699","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","138","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","195","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"710
Mathematical Statistics","001","","19","3.500","36.8","31.6","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"734
Theory of Probability II","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775
Intro-Bayesian Decisn&Cntrl","001","","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"833
Topics in Probability","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"850
Thry&Appl-Regres&Anal VarII","001","","29","3.672","48.3","37.9","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"877
Statistical Methods-Molec Biol","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
