"TERM : 1144","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2013-2014","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","",""
"LANGUAGES & CULTURES OF A Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","","","",""
"LCA
Dept. Total
521","313","3.586","48.6","24.3","13.1","4.8","1.9","1.0","",".","3.8","",".",".","",".","",".","1.9","0.6",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","31","3.375","25.8","35.5","29.0","3.2",".","3.2","",".",".","",".",".","",".","",".","3.2",".",".","."
"Sophomore","77","3.628","58.4","18.2","14.3","7.8","1.3",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","67","3.471","35.8","40.3","13.4","3.0","3.0","3.0","",".",".","",".",".","",".","",".","1.5",".",".","."
"Senior","92","3.590","51.1","22.8","12.0","6.5","3.3",".","",".","1.1","",".",".","",".","",".","1.1","2.2",".","."
"Undergraduates","267","3.546","46.4","27.3","15.0","5.6","2.2","1.1","",".","0.4","",".",".","",".","",".","1.1","0.7",".","."
"Special","6","3.750","16.7","16.7",".",".",".",".","",".","66.7","",".",".","",".","",".",".",".",".","."
"Graduate","40","3.933","67.5","5.0","2.5",".",".",".","",".","17.5","",".",".","",".","",".","7.5",".",".","."
"Dept. Total","313","3.586","48.6","24.3","13.1","4.8","1.9","1.0","",".","3.8","",".",".","",".","",".","1.9","0.6",".","."
