"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","5","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","38","3.664","81.6","7.9",".","5.3","5.3",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","237","3.037","30.8","9.3","30.4","8.9","16.5","3.4",".",".","",".",".","",".",".","0.4",".","0.4","."
"Senior","715","3.180","35.8","13.0","25.9","8.1","13.8","1.7","0.4","0.1","",".",".","",".","0.6","0.3",".","0.3","."
"Undergraduates","995","3.157","36.7","11.9","25.8","8.1","14.1","2.0","0.3","0.1","",".",".","",".","0.4","0.3",".","0.3","."
"Special","33","3.318","45.5","12.1","12.1","15.2","9.1",".","3.0",".","",".",".","",".",".",".",".","3.0","."
"Graduate","357","3.672","42.3","11.5","7.8","0.8","0.6",".",".","25.2","",".",".","",".","11.8",".",".",".","."
"Prof Yr 2","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"Prof Yr 3","3","4.000","66.7",".",".",".",".",".",".",".","",".",".","",".","33.3",".",".",".","."
"Prof Yr 4","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","5","4.000","60.0",".",".",".",".",".",".",".","",".",".","",".","40.0",".",".",".","."
