"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"","801
025","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","801
026","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
027","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","028
801","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","157","3.904","84.1","10.8","3.8","0.6",".",".",".",".",".",".",".",".","0.6",".",".","."
"","821
001","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","821
002","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
821","9","3.556","33.3","55.6",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Aging and Mental Health","Course Total","38","3.842","73.7","23.7",".","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Mental Hlth Policies&Services","836
001","36","3.986","97.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
003","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
004","20","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
005","18","3.639","27.8","72.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
840","19","3.737","57.9","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","110","3.827","69.1","27.3","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crises Intervention-Soc Wrk","854
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","862
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","863
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Assessing and Treating Adults","870
001","22","3.833","68.2","22.7","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Soc Work Practice in Hlth Care","873
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonprofit Leadership","887
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","924
001","20","3.750","55.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","924
002","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","924
003","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Problems & Soc Work","Course Total","44","3.784","63.6","29.5","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","929
001","22","3.750","63.6","22.7","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","929
002","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","929
004","18","3.912","77.8","16.7",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Social Work & Substance Abuse","Course Total","62","3.861","75.8","17.7","4.8",".",".",".",".",".",".",".",".",".","1.6",".",".","."
"Evaluation Research","945
001","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Student Research Seminar","947
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar","948
001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
037","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
051","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","15","",".",".",".",".",".",".",".","40.0",".",".",".","53.3","6.7",".",".","."
"","999
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","Page 305 of 409",""
