"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"Intensv English as 2nd Lang","Course Total","41","",".",".",".",".",".",".",".",".",".","95.1","4.9",".",".",".",".","."
"","115
001","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","115
003","13","",".",".",".",".",".",".",".",".",".","84.6","15.4",".",".",".",".","."
"ESL: Grammar-Academic Use","Course Total","28","",".",".",".",".",".",".",".",".",".","89.3","10.7",".",".",".",".","."
"","116
001","15","",".",".",".",".",".",".",".",".",".","86.7","13.3",".",".",".",".","."
"","002
116","14","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"","004
116","15","",".",".",".",".",".",".",".",".",".","86.7","13.3",".",".",".",".","."
"","005
116","14","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"","006
116","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","116
007","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
008","13","",".",".",".",".",".",".",".",".",".","84.6","15.4",".",".",".",".","."
"ESL:Academc Readng&Vocablry","Course Total","101","",".",".",".",".",".",".",".",".",".","89.1","10.9",".",".",".",".","."
"","117
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
002","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
003","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
004","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","005
117","14","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"","006
117","15","",".",".",".",".",".",".",".",".",".","86.7","13.3",".",".",".",".","."
"","117
007","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
008","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
009","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
010","16","",".",".",".",".",".",".",".",".",".","81.3","12.5",".",".",".",".","6.3"
"","117
011","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
012","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","117
013","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","015
117","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"ESL: Academic Writing I","Course Total","205","",".",".",".",".",".",".",".",".",".","94.6","4.9",".",".",".",".","0.5"
"","118
001","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
118","9","3.444","33.3","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","118
003","14","2.964","21.4","7.1","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"","004
118","13","3.385","46.2","30.8","15.4",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","005
118","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
007","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
008","15","3.033","20.0","33.3","20.0","13.3","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","118
009","16","3.719","62.5","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","118
010","14","2.964","21.4","35.7","28.6",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","118
011","15","3.233","26.7","46.7","13.3",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","118
012","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
013","12","3.667","50.0","41.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","118
014","15","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
015","12","2.458","16.7","16.7","33.3","8.3",".",".","25.0",".",".",".",".",".",".",".",".","."
"","016
118","7","2.929","14.3",".","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","118
017","13","2.885","15.4","38.5","30.8",".",".",".","15.4",".",".",".",".",".",".",".",".","."
"","118
018","14","3.607","28.6","64.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","019
118","14","3.464","42.9","28.6","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
