"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","",""
"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","300
001","23","3.783","60.9","34.8","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
300","26","3.692","42.3","53.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","27","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
300","26","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","27","3.596","18.5","77.8",".",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"","300
006","27","3.704","40.7","59.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
300","27","3.778","59.3","37.0","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","27","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","25","3.820","64.0","36.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","26","3.769","57.7","38.5","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
011","27","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
012","26","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
013","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
014","26","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
300","27","3.796","59.3","40.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
016","25","3.720","48.0","48.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","416","3.780","57.0","41.6","1.2",".",".",".",".",".",".",".",".",".","0.2",".",".","."
"","301
001","114","2.890","9.6","10.5","48.2","16.7","12.3","2.6",".",".",".",".",".",".",".",".",".","."
"","301
002","260","3.056","15.8","18.1","41.5","12.3","11.5","0.8",".",".",".",".",".",".",".",".",".","."
"Business Law","Course Total","374","3.005","13.9","15.8","43.6","13.6","11.8","1.3",".",".",".",".",".",".",".",".",".","."
"","302
001","26","3.423","42.3","11.5","34.6","11.5",".",".",".",".",".",".",".",".",".",".",".","."
"","002
302","13","3.346","46.2","7.7","15.4","30.8",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","39","3.397","43.6","10.3","28.2","17.9",".",".",".",".",".",".",".",".",".",".",".","."
"","303
001","97","3.179","25.8","11.3","47.4","3.1","8.2","2.1",".",".",".",".",".",".","1.0",".","1.0","."
"","303
002","39","3.090","15.4","23.1","43.6","10.3","5.1",".","2.6",".",".",".",".",".",".",".",".","."
"","010
303","60","2.448","3.3","5.0","46.7","1.7","28.3","5.0","6.7",".",".",".",".",".",".","1.7","1.7","."
"Business Statistics","Course Total","196","2.940","16.8","11.7","46.4","4.1","13.8","2.6","2.6",".",".",".",".",".","0.5","0.5","1.0","."
"","304
001","101","3.228","20.8","16.8","52.5","6.9","3.0",".",".",".",".",".",".",".",".",".",".","."
"","304
002","94","3.457","41.5","16.0","37.2","3.2","2.1",".",".",".",".",".",".",".",".",".",".","."
"","304
003","39","3.346","20.5","38.5","33.3","5.1","2.6",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Bus Statistics","Course Total","234","3.340","29.1","20.1","43.2","5.1","2.6",".",".",".",".",".",".",".",".",".",".","."
"Mgmt & Mrktg Non-Bus Majors","311
001","261","3.076","23.4","10.3","34.9","7.7","16.5",".","0.4","6.1",".",".",".",".","0.8",".",".","."
"Intercultural Communctn in Bus","320
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
001","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","16","3.875","93.8",".",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","34","3.868","85.3","8.8","2.9",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","450
001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prof Exp Bus-Extended Intrnshp","451
001","10","",".",".",".",".",".",".",".",".",".","90.0","10.0",".",".",".",".","."
"Sys Thinking & Sustainable Bus","601
001","29","3.655","55.2","27.6","13.8",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Managerial Communication","700
030","48","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Legal Risks","701
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","750
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
030","47","3.553","29.8","51.1","19.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
031","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","Page 51 of 409"
