"","990
029","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
035","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","21","",".",".",".",".",".",".",".","71.4",".",".",".","28.6",".",".",".","."
"ART HIST
180","Dept. Total","616","3.334","33.9","21.1","12.3","7.1","3.4","1.6","1.3","14.4",".",".",".","1.0","1.5","0.2","2.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","",""
"Freshmen","","27","2.696","7.4","37.0","18.5","18.5","3.7","3.7","11.1",".",".",".",".",".",".",".",".","."
"Sophomore","","76","3.224","19.7","36.8","21.1","11.8","5.3","1.3",".","1.3",".",".",".",".","2.6",".",".","."
"Junior","","89","3.343","42.7","27.0","14.6","6.7","4.5","1.1","2.2",".",".",".",".",".","1.1",".",".","."
"Senior","","215","3.271","36.7","23.7","17.7","9.8","5.1","2.8","1.4","1.9",".",".",".",".","0.9",".",".","."
"Undergraduates","","407","3.233","32.9","27.8","17.7","10.1","4.9","2.2","2.0","1.2",".",".",".",".","1.2",".",".","."
"Special","","88","3.364","5.7","2.3",".","1.1",".","1.1",".","75.0",".",".",".",".",".","1.1","13.6","."
"Graduate","","121","3.819","57.9","12.4","3.3","1.7","0.8",".",".","14.9",".",".",".","5.0","3.3",".","0.8","."
"","Dept. Total","616","3.334","33.9","21.1","12.3","7.1","3.4","1.6","1.3","14.4",".",".",".","1.0","1.5","0.2","2.1","."
