"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"126
001
Principles-Envrnmtl Science","17","3.235","29.4","5.9","52.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"157
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"157
002","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"157
004","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
005","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
006","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
007","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
008","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
010","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Bradley Roundtable Seminar","78","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"199
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"199
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Directed Study","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
001
Critical Thinkng & Expressn","67","3.896","79.1","20.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"202
001
W Culture:Sci,Tech,Phil II","74","3.169","12.2","32.4","40.5","9.5","4.1","1.4",".",".",".",".",".",".",".",".",".","."
"206
001
W Cul:Pol,Econ&Soc Thght II","53","3.240","22.6","37.7","20.8","9.4","3.8","1.9","1.9",".",".",".",".",".","1.9",".",".","."
"234
001
Genres-Westrn Relig Writing","11","3.091","18.2","27.3","36.4","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"251
001
Contemporary Phy Sciences","11","3.600","54.5",".","36.4",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"275
001","36","3.750","75.0","16.7","5.6",".",".",".","2.8",".",".",".",".",".",".",".",".","."
"002
275","21","3.921","76.2","14.3",".",".",".",".",".","4.8",".",".",".",".","4.8",".",".","."
"Course Total
Special Topics in ILS","57","3.809","75.4","15.8","3.5",".",".",".","1.8","1.8",".",".",".",".","1.8",".",".","."
"299
001
Directed Study","5","***","","","","","","","","","",".",".",".",".",".",".","."
"357
001
Peer Mentor Seminar","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"400
001
Capstone Integration Seminar","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"401
001
Global Culture Capstone Smr","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ILS
Dept. Total
500","459","3.591","47.3","16.1","13.3","3.1","1.3","0.7","0.4","0.2",".","17.0",".",".","0.7",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"Freshmen","48","3.632","25.0","20.8","8.3",".",".",".",".",".",".","45.8",".",".",".",".",".","."
"Sophomore","143","3.493","27.3","16.1","14.0","3.5","0.7","0.7",".",".",".","36.4",".",".","1.4",".",".","."
"Junior","112","3.563","52.7","23.2","12.5","2.7","4.5","0.9",".",".",".","3.6",".",".",".",".",".","."
"Senior","152","3.663","69.7","9.9","14.5","3.9",".","0.7","1.3",".",".",".",".",".",".",".",".","."
"Undergraduates","455","3.591","47.5","16.3","13.2","3.1","1.3","0.7","0.4",".",".","17.1",".",".","0.4",".",".","."
"Special","4","3.500","25.0",".","25.0",".",".",".",".","25.0",".",".",".",".","25.0",".",".","."
"Dept. Total","459","3.591","47.3","16.1","13.3","3.1","1.3","0.7","0.4","0.2",".","17.0",".",".","0.7",".",".","."
