"POLITICAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"643
Women&Politics-Global Context","001","","15","3.533","40.0","40.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"660
African Politics","001","","15","3.786","60.0","26.7","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"667
Poli Sci Contentious Politics","001","","28","3.571","42.9","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"684
Senior Honors Thesis Smr","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Senior Thesis","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","402","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","403","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","26","3.915","69.2","7.7","7.7",".",".",".",".",".",".",".",".",".","11.5",".","3.8","."
"702
Intl Political Economy","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"813
Stat Inference Pol Research","001","","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"817
Empir Method Pol Inquiry:Quant","001","","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"825
Race & Politics in the U.S.","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"829
Political Communication","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"831
Concepts-Political Theory","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"835
Game Theory&Political Analysis","001","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"837
Formal Models - Intl Relations","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"853
Comparatv Political Institutns","001","","10","3.778","50.0","40.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"854
Nationalism & Ethnic Conflict","001","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"866
Global Environmentl Governance","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"874
Policy-Making Process","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Political Science","Course Total","","8","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"917
Time Series Analysis","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"919","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".","14.3",".",".",".","."
"Sem-Adv Methodology","Course Total","","11","3.850","63.6","27.3",".",".",".",".",".",".",".",".",".","9.1",".",".",".","."
"931
Seminar-Political Theory","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
