"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist-Civil War-Present","102","001","187","3.166","18.7","27.8","29.9","14.4","6.4","0.5","0.5","1.6",".",".",".",".",".",".",".","."
"","108","001","18","3.531","38.9","22.2","22.2","5.6",".",".",".","5.6",".",".",".",".","5.6",".",".","."
"","108","002","9","3.625","33.3","44.4","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Intro to E Asian Hist - Korea","","Course Total","27","3.563","37.0","29.6","18.5","3.7",".",".",".","3.7",".",".",".",".","7.4",".",".","."
"Medieval Europe 410-1500","115","001","81","3.164","14.8","25.9","23.5","9.9","2.5",".","2.5",".",".",".",".",".",".","21.0",".","."
"Modern Europe 1500-1815","119","001","54","2.868","9.3","20.4","33.3","20.4","9.3","3.7","1.9","1.9",".",".",".",".",".",".",".","."
"British Hist: 1688-Present","124","001","102","3.535","40.2","38.2","16.7",".","1.0",".","2.0","2.0",".",".",".",".",".",".",".","."
"Intro to World History","130","001","50","3.115","20.0","34.0","16.0","12.0","8.0","6.0",".",".",".",".",".",".",".",".","4.0","."
"AsianAm His:Settlmnt&Belonging","161","001","22","3.455","45.5","9.1","40.9",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Historical Studies","200","001","11","4.000","72.7",".",".",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"","201","001","42","3.310","50.0","23.8","14.3",".",".","4.8","7.1",".",".",".",".",".",".",".",".","."
"","201","002","42","3.158","19.0","23.8","40.5",".","2.4",".","4.8","4.8",".",".",".",".","4.8",".",".","."
"","201","004","44","3.012","6.8","22.7","54.5","6.8",".",".","4.5","2.3",".",".",".",".",".",".",".","2.3"
"","201","005","43","3.538","51.2","20.9","14.0",".","4.7",".","2.3",".",".",".",".",".",".",".","7.0","."
"The Historian's Craft","","Course Total","171","3.253","31.6","22.8","31.0","1.8","1.8","1.2","4.7","1.8",".",".",".",".","1.2",".","1.8","0.6"
"West Intell & Rel Hist to 1500","208","002","33","3.267","21.2","15.2","45.5","9.1",".",".",".","6.1",".",".",".",".","3.0",".",".","."
"","221","001","28","3.167","10.7","42.9","25.0","10.7","3.6","3.6",".","3.6",".",".",".",".",".",".",".","."
"","221","002","266","3.125","10.9","36.1","32.0","10.5","3.8","1.1","1.9","2.3",".",".",".",".","0.8",".","0.8","."
"","221","003","41","3.474","19.5","51.2","19.5","2.4",".",".",".","4.9",".",".",".",".","2.4",".",".","."
"Explorations in Amer Hist (H)","","Course Total","335","3.170","11.9","38.5","29.9","9.6","3.3","1.2","1.5","2.7",".",".",".",".","0.9",".","0.6","."
"","223","001","18","3.063","27.8","27.8",".","16.7","11.1",".","5.6",".",".",".",".",".",".",".","11.1","."
"","223","002","18","3.269","11.1","22.2","33.3","5.6",".",".",".","22.2",".",".",".",".","5.6",".",".","."
"Exploration-European Hist (H)","","Course Total","36","3.155","19.4","25.0","16.7","11.1","5.6",".","2.8","11.1",".",".",".",".","2.8",".","5.6","."
"History of Race and Ethnicity","227","001","49","3.122","20.4","28.6","32.7","8.2","6.1",".","4.1",".",".",".",".",".",".",".",".","."
"Transnational/Cmp Hist(SocSci)","228","001","33","3.537","45.5","18.2","9.1","3.0","3.0","3.0",".","12.1",".",".",".",".","6.1",".",".","."
"Latin America: 1780 to 1940","241","001","56","3.349","26.8","37.5","21.4",".","7.1",".","1.8","5.4",".",".",".",".",".",".",".","."
"SE Asian Refugees of Cold War","246","001","39","3.806","59.0","30.8","2.6",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Eastern Europe:Interdis Survey","254","001","14","3.889","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","35.7","."
"Intro East Asian Civilizations","255","002","10","3.000","40.0",".","20.0","20.0",".",".","10.0",".",".",".",".",".",".","10.0",".","."
"American Legal History to Pres","262","001","19","3.132","5.3","31.6","47.4","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"Dimensions-Material Culture","264","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Cen Asia: Silk Route-Afghan","265","001","15","3.267","40.0","13.3","33.3",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"Topics in LGBT History","275","002","33","3.422","39.4","18.2","24.2","15.2",".",".",".",".",".",".",".",".","3.0",".",".","."
"Chinese Migrations since 1500","276","001","20","3.250","20.0","20.0","35.0","15.0",".",".",".",".",".",".",".",".",".",".","10.0","."
"Africa: Introductory Survey","277","001","22","3.545","31.8","50.0","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Africans in Americas 1492-1808","278","001","69","3.102","20.3","27.5","29.0","11.6","1.4","8.7",".","1.4",".",".",".",".",".",".",".","."
"Intermed Hon Smr-Study Hist(H)","283","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"A History of Greek Civ","303","001","71","3.263","25.4","23.9","29.6","8.5","4.2",".","1.4","4.2",".",".",".",".","1.4",".","1.4","."
"A History of Rome","307","001","155","3.471","25.8","41.3","23.2","2.6",".","0.6",".","5.8",".",".",".",".","0.6",".",".","."
"History of American Capitalism","329","001","53","2.777","7.5","15.1","37.7","13.2","7.5","1.9","5.7","11.3",".",".",".",".",".",".",".","."
"Hist-China 589 AD-1919","337","002","23","3.191","26.1","26.1","17.4","8.7","4.3",".","4.3","4.3","4.3",".",".",".",".",".","4.3","."
