"","990
079","3","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
081","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","10","",".",".",".",".",".","",".","",".","90.0",".",".",".","10.0",".",".",".","."
"Advanced Independent Study","999
065","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"S&A PHM
732","Dept. Total","451","3.348","33.3","25.7","25.7","11.1","1.8","",".","",".","2.0",".",".",".","0.2","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","9","3.789","66.7","22.2","11.1",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","13","3.852","76.9","15.4","7.7",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Special","","2","4.000","50.0",".",".",".",".","",".","",".",".",".",".",".",".","50.0",".",".","."
"Graduate","","30","4.000","66.7",".",".",".",".","",".","",".","30.0",".",".",".","3.3",".",".",".","."
"Prof Yr 1","","135","3.027","6.7","23.0","45.2","20.0","5.2","",".","",".",".",".",".",".",".",".",".",".","."
"Prof Yr 2","","134","3.241","19.4","26.9","35.8","17.2","0.7","",".","",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","92","3.783","62.0","32.6","5.4",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Prof Yr 4","","45","3.789","60.0","37.8","2.2",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Professionals","","406","3.307","29.3","28.1","28.3","12.3","2.0","",".","",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","451","3.348","33.3","25.7","25.7","11.1","1.8","",".","",".","2.0",".",".",".","0.2","0.2",".",".","."
