"ED LEADERSHP & POLICY ANAL Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","",""
"Peer Ldrshp&Mntrshp-Trans Stdt","350
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
502","24","3.458","54.2","29.2",".","4.2","4.2","8.3",".",".",".",".",".",".",".",".",".","."
"","502
004","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wkshp-Ed Leadership & Pol Anal","Course Total","42","3.776","73.8","16.7",".","2.4","2.4","4.8",".",".",".",".",".",".",".",".",".","."
"Org&Adm-School Hlth Progms","541
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","700
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Ed Ldrship","Course Total","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Higher & Post-Sec Ed","701
001","17","3.794","70.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eval & Support Quality Teachng","703
001","16","3.967","87.5","6.3",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Intro to Qualitative Research","719
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","725
001","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data-Based Decision-Making","726
001","19","3.972","89.5","5.3",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Ldrship for Equity & Diversity","735
001","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","8.3",".","8.3","."
"HPE Capstone Seminar","777
001","17","3.900","70.6","17.6",".",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"Qual Rsch Mthds-Educ: Field I","788
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prblms-Coll&Universty Admin","815
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Rsch Methods-Ed Admin","825
001","10","4.000","70.0",".",".",".",".",".",".",".",".",".",".",".","30.0",".",".","."
"Financng Postsecondry Educ","831
001","14","3.000","28.6","21.4","7.1","7.1","21.4","7.1",".",".",".",".",".",".","7.1",".",".","."
"Legal Aspects of Higher Ed","841
001","21","3.969","71.4","4.8",".",".",".",".",".",".",".",".",".",".","14.3",".","9.5","."
"School-Level Leadership","845
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory&Practice-Ed Planning","875
001","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Acadmc Prgrms-Col&Universty","880
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ideas of Univ:Learning for 21C","001
881","16","3.964","81.3","6.3",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Appl Rsch in Ed Admin","890
203","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
002","8","3.643","37.5","37.5","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","940
003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
004","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
940","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","940
008","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
009","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
010","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
012","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
013","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics Seminar-Educ Leadership","Course Total","133","3.905","84.2","12.8","1.5",".",".",".",".","1.5",".",".",".",".",".",".",".","."
"","990
003","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
032","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
036","17","",".",".",".",".",".",".",".","64.7",".",".",".","29.4",".","5.9",".","."
"","990
042","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
043","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
044","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","Page 90 of 409"
