"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","105
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","105
005","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
006","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","27","3.926","96.3",".",".",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","110
005","15","3.833","86.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","110
006","12","3.833","91.7",".",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","110
011","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","110
015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","110
021","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
022","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
023","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
024","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","110
025","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
026","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev:Career Strategies","Course Total","135","3.963","97.0","1.5",".",".","1.5",".",".",".",".",".",".",".",".",".",".","."
"","115
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
003","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
004","23","3.826","95.7",".",".",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","115
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
008","7","3.286","71.4",".","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","115
010","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
011","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
012","9","3.778","77.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","115
013","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
014","10","3.750","70.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","115
015","7","3.571","71.4",".","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","115
016","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
017","6","3.417","66.7",".",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","115
021","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
022","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
023","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
024","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
025","21","3.800","90.5",".",".",".",".",".","4.8",".",".",".",".",".",".",".","4.8","."
"","028
115","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
030","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
031","11","3.545","72.7","18.2",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","115
032","9","3.389","77.8",".",".","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"","115
033","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
034","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","261","3.854","90.8","3.1","1.5","1.5","0.8",".","1.9",".",".",".",".",".",".",".","0.4","."
"","001
125","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"A Wisconsin Experience Seminar","Course Total","21","3.881","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
