"LAFOLLETTE SCHOOL PUB AFF Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","","",""
"548
001
Economics of Health Care","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"799
004","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"799
009","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Course Total
Independent Reading","2","***","","","","","","","","","","","","","","","","","","","","","",""
"802
001
Public Affairs Seminar Series","11","",".",".",".",".",".","",".","",".","","100.0",".","",".",".","",".","",".",".",".","."
"810
001
Energy Analysis Seminar","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"819
001
Adv Stat Meths-Pub Pol Anal","42","3.438","33.3","19.0","40.5","2.4","",".",".","",".","",".",".","",".",".","",".","",".",".","4.8","."
"827
001
Administrative Internship","5","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"857
001
Pol Econ-Corruptn&Good Governc","15","3.600","33.3","53.3","13.3",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"001
860
Workshop-Int'l Public Affairs","13","3.962","92.3","7.7",".",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"866
001
Global Environmentl Governance","10","3.700","40.0","60.0",".",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"869
001","16","3.844","75.0","18.8","6.3",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"869
002","18","3.833","66.7","33.3",".",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Course Total
Workshop in Public Affairs","34","3.838","70.6","26.5","2.9",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"873
001","22","3.773","63.6","27.3","9.1",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"873
002","18","3.735","44.4","50.0",".",".","",".",".","",".","",".",".","",".",".","",".","","5.6",".",".","."
"873
003","19","3.583","52.6","10.5","26.3","5.3","",".",".","",".","",".",".","",".",".","",".","",".","5.3",".","."
"Course Total
Intro to Policy Analysis","59","3.702","54.2","28.8","11.9","1.7","",".","",".","",".",".","",".",".","",".","",".","1.7","1.7",".","."
"874
001
Policy-Making Process","37","3.611","35.1","48.6","13.5",".","",".",".","",".","",".",".","",".",".","",".","","2.7",".",".","."
"883
001
Politics-Pov, Inequal&Soc Pol","5","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"885
001
Adv Pub Mgt:Constrnts&Acctblty","23","3.913","82.6","17.4",".",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"887
001
Nonprofit Leadership","18","4.000","100.0",".",".",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"891
001
State & Local Govt Finance","15","3.433","26.7","33.3","40.0",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"895
001
Performance Management","13","3.667","46.2","30.8","15.4",".","",".",".","",".","",".",".","",".",".","",".","","7.7",".",".","."
"974
001
Topics in Public Affairs","14","3.821","71.4","21.4","7.1",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"PUB AFFR
Dept. Total
826","318","3.695","52.2","26.4","14.5","0.6","",".","",".","",".","3.8","",".",".","",".","",".","1.3","0.6","0.6","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","15","3.567","40.0","33.3","26.7",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","15","3.567","40.0","33.3","26.7",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","9","3.944","88.9","11.1",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","285","3.693","51.2","27.0","14.0","0.7","",".","",".","",".","4.2","",".",".","",".","",".","1.4","0.7","0.7","."
"Prof Yr 1","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","2","3.750","50.0","50.0",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","6","3.667","66.7",".","33.3",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","9","3.722","66.7","11.1","22.2",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Dept. Total","318","3.695","52.2","26.4","14.5","0.6","",".","",".","",".","3.8","",".",".","",".","",".","1.3","0.6","0.6","."
