"L&S","","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"GEOG
416","Dept. Total","1386","3.305","36.3","19.3","21.3","7.9","5.7","1.0","1.5","4.5","",".","0.3","",".","0.5","0.8","0.2","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","76","3.007","17.1","19.7","38.2","15.8","3.9","1.3","3.9",".","",".",".","",".",".",".",".",".","."
"Sophomore","","204","3.187","29.9","16.7","32.8","9.8","7.8",".","2.5","0.5","",".",".","",".",".",".",".",".","."
"Junior","","334","3.335","32.6","26.3","24.3","7.8","6.0","0.9","0.3","0.9","",".",".","",".",".","0.9",".",".","."
"Senior","","519","3.245","35.5","19.8","20.4","9.6","7.1","1.7","1.7","2.7","",".","0.2","",".",".","0.8","0.2","0.2","."
"Undergraduates","","1133","3.244","32.4","21.2","25.0","9.5","6.7","1.1","1.6","1.6","",".","0.1","",".",".","0.6","0.1","0.1","."
"Special","","92","3.534","42.4","19.6","7.6",".","3.3","1.1","2.2","9.8","",".","3.3","",".",".",".","2.2","4.3","."
"Graduate","","160","3.841","60.6","5.6","3.1","1.3",".",".","0.6","21.9","",".",".","",".","4.4","2.5",".",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","1386","3.305","36.3","19.3","21.3","7.9","5.7","1.0","1.5","4.5","",".","0.3","",".","0.5","0.8","0.2","0.4","."
