"FINANCE, INVESTMENT & BANKI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","",""
"Multinational Bus Finance","Course Total","","73","3.541","42.5","31.5","17.8","8.2",".",".",".",".",".",".",".",".",".",".",".","."
"755
Corporate Restrctrng&Reorgnztn","001","","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"757
Entrepreneurial Finance","001","","41","3.737","53.7","29.3","9.8",".",".",".",".",".",".",".",".",".",".",".","7.3","."
"765
Contemporary Topics","001","","20","4.000","95.0",".",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"836
Security Anal&Invstmt Mgt 2","001","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"851
Applied Corporate Finance II","001","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"972","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"972","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics Seminar-Finance PhD","Course Total","","3","***","","","","","","","","","","","","","","","",""
"973
Seminar-Workshop in Finance","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Finance","Course Total","","3","***","","","","","","","","","","","","","","","",""
