"L&S","","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"MATH
600","Dept. Total","6082","2.916","28.9","14.2","21.1","10.7","14.9","5.7","3.6","0.3","0.1",".","",".","0.0","0.3","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1125","2.779","21.3","12.5","24.2","13.9","17.8","6.1","3.7",".","0.1",".","",".",".","0.4",".",".","."
"Sophomore","","2219","2.914","25.5","16.2","22.3","11.8","15.6","5.2","3.2","0.1",".",".","",".",".","0.1",".",".","."
"Junior","","1333","2.866","27.8","13.9","20.0","10.1","15.7","7.6","4.2","0.1","0.1",".","",".",".","0.4",".","0.2","0.1"
"Senior","","908","2.848","26.8","13.3","22.7","9.7","15.2","6.5","4.7","0.3","0.3",".","",".",".","0.2","0.2",".","."
"Undergraduates","","5585","2.864","25.4","14.4","22.2","11.4","16.0","6.2","3.8","0.1","0.1",".","",".",".","0.3","0.0","0.0","0.0"
"Special","","142","3.356","50.0","16.2","12.7","3.5","5.6","2.8","2.8","3.5",".",".","",".",".",".","1.4","0.7","0.7"
"Graduate","","355","3.810","74.9","9.3","7.0","2.0","1.4",".",".","2.8","0.3",".","",".","0.8","0.6","0.3","0.6","."
"","Dept. Total","6082","2.916","28.9","14.2","21.1","10.7","14.9","5.7","3.6","0.3","0.1",".","",".","0.0","0.3","0.1","0.1","0.0"
