"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","4","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","8","3.895","87.5",".","12.5",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","19","3.900","84.2","10.5","5.3",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","31","3.914","87.1","6.5","6.5",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","3","4.000","66.7",".",".",".","",".","",".","",".","33.3","",".",".","",".",".","",".",".",".","."
"Graduate","155","3.890","59.4","5.2","2.6",".","",".","",".","",".","29.0","",".",".","",".","3.2","",".",".","0.6","."
"Prof Yr 3","3","4.000","66.7",".",".",".","",".","",".","",".","33.3","",".",".","",".",".","",".",".",".","."
"Professionals","3","4.000","66.7",".",".",".","",".","",".","",".","33.3","",".",".","",".",".","",".",".",".","."
