"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"INTL BUS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","2.250",".",".",".","50.0","50.0",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","23","2.958","39.1","13.0","21.7","17.4",".",".","8.7",".","",".",".","",".","",".",".",".",".","."
"Junior","","79","3.236","44.3","26.6","11.4","8.9","2.5","3.8","2.5",".","",".",".","",".","",".",".",".",".","."
"Senior","","126","3.733","67.5","19.8","9.5","1.6","0.8",".",".","0.8","",".",".","",".","",".",".",".",".","."
"Undergraduates","","230","3.475","56.1","21.3","11.3","6.1","1.7","1.3","1.7","0.4","",".",".","",".","",".",".",".",".","."
"Special","","19","3.737","63.2","26.3","5.3","5.3",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","106","3.899","77.4","16.0",".",".",".",".",".",".","",".",".","",".","",".","6.6",".",".","."
"","Dept. Total","355","3.603","62.8","20.0","7.6","4.2","1.1","0.8","1.1","0.3","",".",".","",".","",".","2.0",".",".","."
