"THEATRE AND DRAMA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"469","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Interdis Studies in the Arts","Course Total","","11","3.364","54.5",".","36.4",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"539
Folklore-Festivls&Celebratn","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"550
Advanced Scene Study","001","","14","3.643","78.6",".","7.1",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"561
Backstage Laboratory III","001","","31","3.953","90.3","9.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"563
Costume Design II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"570
Advanced Stagecraft","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"572
Set Design II","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"579
Adv Concepts Stage Management","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"619","001","","14","3.250","14.3","28.6","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"619","002","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","003","","9","3.625","22.2","66.7",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"619","005","","43","3.988","97.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Specl Topics-Theatre&Drama","Course Total","","85","3.833","76.5","12.9","8.2","1.2",".",".",".","1.2",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"698
Directed Study","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","3.824","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Voice Training","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"742
Graduate Stage Movement","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Graduate Acting","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"763
Costume Design III","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"768
Adv Problems in Directing","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"911","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"911","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Probs in Theatre&Drama","Course Total","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","13","",".",".",".",".",".",".",".","92.3",".",".",".","7.7",".",".",".","."
