"PHILOSOPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"555
Political Philosophy","001","","14","3.536","35.7","42.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"558
Ethical Issues in Health Care","001","","20","3.600","40.0","45.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"559
Philosophy of Law","001","","19","3.316","31.6","26.3","31.6","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"560
Metaphysics","001","","13","3.385","23.1","30.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"565
Ethics of Modern Biotechnology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599
Directed Study","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honors Thesis","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"692
Senior Thesis","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"830
Advanced Hist of Philosophy","001","","9","",".",".",".",".",".",".",".","33.3",".",".",".",".","66.7",".",".","."
"916
Smr-Philos of Language","001","","10","",".",".",".",".",".",".",".","60.0",".",".",".",".","40.0",".",".","."
"920
Smr-Philosophy of Science","001","","12","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"955
Soc-Pol Phil","001","","10","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","095","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
