"EDU","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Digital Media and Literacy","209
001","","38","3.908","86.8","10.5",".","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Crit Aspects Teach, Schl, Educ","240
001","","62","3.915","90.3","3.2",".",".",".",".","1.6",".",".",".",".",".","4.8",".",".","."
"Videogames & Learning","277
001","","120","3.788","66.7","25.0","7.5","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Secondary Sci Ed","290
001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Practm-Secondry Sch English","296
001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","305
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Rdg & Other Lang Arts","Course Total","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Read&Write Across Content Area","001
309","","24","3.896","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
001","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
002","","25","3.540","12.0","84.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language Acquisition and Use","Course Total","","50","3.760","54.0","44.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"ESL/Bilingual Issues","312
001","","24","3.813","66.7","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","","26","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
313","","27","3.907","88.9","7.4",".","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Lang & Lit-Secondary Curric","Course Total","","53","3.840","75.5","18.9","3.8","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Becoming Lit. in/out Schools","314
001","","26","3.880","84.6","3.8","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","3.8"
"Dimensions of Literacy","317
001","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Educ Young English Learners","325
001","","26","3.860","73.1","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".","3.8"
"Mthds Young Eng Learners","327
001","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Gen Music-Secndry Schl","334
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg Instrumental Music-Sec","336
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Teaching Music","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cult Fndtns-Lrng & Dev","339
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Educ Practicum One","340
001","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pract: Soc Studies-Sec Schl","358
001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Tchg of Hist & Other Soc St","359
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Math-Sec Schl","361
001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","362
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama in Education","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Introduction to Education","364
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tching Math in Inclusive Set","365
001","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Teaching Practicum II","367
001","","26","",".",".",".",".",".",".",".",".",".","96.2",".",".",".",".",".","3.8"
"Teaching Mathematics","370
001","","26","3.980","92.3","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","3.8"
"","371
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
002","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Social Studies","Course Total","","50","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
001","","25","3.900","84.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
002","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","","Page 84 of 409"
