"JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","",""
"Intro to Mass Communication","201
001","369","3.569","50.9","23.3","19.8","2.4","2.2","0.8","0.3",".",".",".",".",".",".",".","0.3","."
"Mass Communication Practices","202
001","120","3.315","22.5","24.2","48.3","3.3",".","0.8",".",".",".",".",".",".","0.8",".",".","."
"","335
001","15","3.433","46.7","33.3","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","335
002","16","3.656","37.5","56.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
003","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","Course Total","47","3.702","61.7","29.8","6.4",".",".",".","2.1",".",".",".",".",".",".",".",".","."
"","345
001","23","3.609","39.1","43.5","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
345","30","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345
003","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","Course Total","73","3.651","43.8","42.5","13.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","401
001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interpatn Contemp Affairs","404
001","15","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Nonfiction","405
001","17","3.853","88.2","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Multimedia Graphics","411
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Develop Creatv Messages-Media","445
001","26","3.923","88.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","447
001","26","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","447
002","23","3.609","43.5","34.8","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Media Planning","Course Total","49","3.776","65.3","24.5","10.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
014","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","019
475","23","3.870","78.3","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","Course Total","40","3.888","80.0","17.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","544
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist of Mass Communication","560
001","88","3.310","33.0","26.1","27.3","5.7","3.4","1.1","2.3","1.1",".",".",".",".",".",".",".","."
"Effects-Mass Communication","565
001","98","3.209","22.4","31.6","25.5","10.2","8.2","2.0",".",".",".",".",".",".",".",".",".","."
"Communicatn&Public Opinion","614
001","62","3.460","19.4","61.3","11.3","8.1",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Youth","616
001","19","3.763","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617
001","18","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Communication","620
001","28","3.804","60.7","39.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
001","23","3.543","43.5","30.4","21.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","621
002","20","3.425","30.0","35.0","30.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Mass Com-Developing Nations","Course Total","43","3.488","37.2","32.6","25.6",".","4.7",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Minorities","662
002","18","3.333","16.7","66.7","11.1",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Topics-Govt & Mass Media","675
001","17","3.735","70.6","17.6","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","676
022","15","3.533","46.7","26.7","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","676
030","68","3.971","95.6","2.9","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
048","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
049","23","3.543","21.7","69.6","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","Course Total","124","3.771","76.6","17.7","3.2","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
