"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"","431","001","","38","2.730","28.9","7.9","18.4","7.9","18.4","10.5","5.3",".",".",".",".",".","2.6",".",".","."
"","431","002","","37","2.703","24.3","2.7","35.1","8.1","13.5","10.8","5.4",".",".",".",".",".",".",".",".","."
"","431","003","","30","2.933","40.0","6.7","16.7","6.7","20.0","3.3","6.7",".",".",".",".",".",".",".",".","."
"","431","004","","35","3.114","28.6","17.1","28.6","5.7","17.1","2.9",".",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","","Course Total","","140","2.863","30.0","8.6","25.0","7.1","17.1","7.1","4.3",".",".",".",".",".","0.7",".",".","."
"Introduction to Cryptography","435","001","","42","2.976","40.5","7.1","21.4","7.1","9.5","9.5","4.8",".",".",".",".",".",".",".",".","."
"Intro to Modern Algebra","441","001","","21","2.738","33.3","9.5","4.8","14.3","19.0","19.0",".",".",".",".",".",".",".",".",".","."
"College Geometry I","461","001","","30","3.167","33.3","16.7","26.7","10.0","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"History of Mathematics","473","002","","32","3.766","65.6","21.9","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475","001","","21","2.690","38.1","14.3","14.3",".","9.5","4.8","19.0",".",".",".",".",".",".",".",".","."
"Topics in Undergrad Math","491","001","","6","3.417","50.0","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Numerical Linear Algebra","513","001","","7","3.000","57.1",".","14.3",".","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"Ordinary Differentl Equations","519","001","","14","3.179","42.9",".","21.4","21.4","14.3",".",".",".",".",".",".",".",".",".",".","."
"","521","001","","42","3.131","40.5","11.9","16.7","9.5","16.7","2.4","2.4",".",".",".",".",".",".",".",".","."
"","521","002","","36","2.792","22.2","19.4","13.9","11.1","22.2","8.3","2.8",".",".",".",".",".",".",".",".","."
"","521","003","","19","3.083","31.6","10.5","15.8","15.8","21.1",".",".","5.3",".",".",".",".",".",".",".","."
"Analysis I","","Course Total","","97","2.995","32.0","14.4","15.5","11.3","19.6","4.1","2.1","1.0",".",".",".",".",".",".",".","."
"Analysis II","522","001","","13","3.231","30.8","30.8","23.1",".","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","21","2.786","38.1","9.5","9.5","14.3","4.8","19.0","4.8",".",".",".",".",".",".",".",".","."
"","541","001","","19","2.921","31.6","15.8","21.1","10.5","10.5",".","10.5",".",".",".",".",".",".",".",".","."
"","541","002","","23","3.045","17.4","17.4","34.8","17.4","4.3","4.3",".",".",".",".",".",".",".",".","4.3","."
"Modern Algebra","","Course Total","","42","2.988","23.8","16.7","28.6","14.3","7.1","2.4","4.8",".",".",".",".",".",".",".","2.4","."
"Modern Algebra","542","001","","23","3.795","78.3","4.3","8.7",".","4.3",".",".",".",".",".",".",".",".","4.3",".","."
"Elementary Topology","551","001","","21","3.075","33.3","9.5","19.0","14.3","14.3","4.8",".",".",".",".",".",".",".","4.8",".","."
"Elem Geom & Alg Topology","552","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Differential Geometry","561","001","","8","3.250","25.0","25.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Math Mthds for Systems Biology","609","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Fourier Analysis","627","001","","18","3.667","66.7","11.1","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Intro-Measure & Integration","629","001","","24","3.239","33.3","4.2","37.5","16.7","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"","632","002","","39","2.795","15.4","12.8","35.9","12.8","12.8","7.7","2.6",".",".",".",".",".",".",".",".","."
"","632","003","","23","3.130","26.1","21.7","26.1","4.3","21.7",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","","Course Total","","62","2.919","19.4","16.1","32.3","9.7","16.1","4.8","1.6",".",".",".",".",".",".",".",".","."
"Intro-Brownian Motn&Stoch Calc","635","001","","28","3.444","46.4","10.7","28.6","3.6","7.1",".",".",".",".",".",".",".",".","3.6",".","."
"","682","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","109","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","151","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","153","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Methods of Applied Math-2","704","001","","11","3.500","36.4","36.4","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
