"INTERNATIONAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","",""
"101","002","","60","3.325","33.3","28.3","20.0","10.0","6.7","1.7",".",".",".",".",".",".",".",".",".","."
"101","007","","16","3.663","50.0","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to International Studies","Course Total","","76","3.397","36.8","28.9","19.7","7.9","5.3","1.3",".",".",".",".",".",".",".",".",".","."
"212
WIScholars:Wi Intntl Schlr Smr","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"310","001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"310","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"310","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"310","005","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"310","007","","9","",".",".",".",".",".",".",".",".",".","77.8","22.2",".",".",".",".","."
"310","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"310","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"310","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"310","011","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"310","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Internl Learning Community Smr","Course Total","","67","",".",".",".",".",".",".",".",".",".","97.0","3.0",".",".",".",".","."
"320
Contemporary Issues-Intl St","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"335
Globalization and Education","001","","8","3.071",".","25.0","50.0","12.5",".",".",".",".",".",".",".",".","12.5",".",".","."
"373
Globalizatn, Poverty&Develpmnt","001","","22","3.476","31.8","40.9","13.6","4.5","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"401
Topics in Global Security","001","","37","3.403","40.5","27.0","10.8","8.1","10.8",".",".",".",".",".",".",".","2.7",".",".","."
"402
Politics&Policy in Globl Econ","001","","55","3.191","14.5","30.9","40.0","10.9","1.8","1.8",".",".",".",".",".",".",".",".",".","."
"603
Topics:Culture-Age of Globlztn","001","","12","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"620
Topics-International Studies","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"667
Poli Sci Contentious Politics","001","","9","3.389","55.6",".","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Directed Study","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"INTL ST
504","Dept. Total","","324","3.378","30.2","19.1","17.3","5.6","3.4","0.6",".","0.3",".","21.6","0.6",".","0.6",".","0.6","."
