"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"362
Development of Young Child","001","","216","3.390","29.6","34.7","24.5","6.5","2.3","1.4",".","0.9",".",".",".",".",".",".",".","."
"363
Develp: Adolescence-Old Age","001","","221","3.409","33.9","35.3","17.6","5.9","5.0","0.9","0.5","0.9",".",".",".",".",".",".",".","."
"425
Rsch Meth in Hum Devel&Fam St","001","","32","3.328","12.5","56.3","15.6","15.6",".",".",".",".",".",".",".",".",".",".",".","."
"471
Parent-Child Relations","001","","28","3.944","85.7","10.7",".",".",".",".",".",".",".",".",".",".",".",".",".","3.6"
"474
Racial Ethnic Families in U.S.","001","","30","3.917","86.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","001","","34","3.647","61.8","26.5","5.9","2.9",".",".","2.9",".",".",".",".",".",".",".",".","."
"501","008","","65","3.648","64.6","13.8","12.3","3.1","3.1","1.5",".",".",".",".",".",".",".",".",".","1.5"
"Special Topics","Course Total","","99","3.648","63.6","18.2","10.1","3.0","2.0","1.0","1.0",".",".",".",".",".",".",".",".","1.0"
"516
Family Stress and Coping","001","","34","3.712","64.7","20.6","2.9","5.9","2.9",".",".",".",".",".",".",".",".",".",".","2.9"
"517
Couple Relationships","001","","55","3.185","25.5","25.5","23.6","10.9","10.9","1.8",".","1.8",".",".",".",".",".",".",".","."
"522
American Indian Families","001","","30","3.850","90.0","3.3","3.3",".",".","3.3",".",".",".",".",".",".",".",".",".","."
"535
Family Perspctv-Policymakng","001","","50","3.245","40.0","18.0","18.0","10.0","8.0",".","4.0",".",".",".",".",".",".",".",".","2.0"
"592","035","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"592","039","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"592","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Experience in HDFS","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","002","","32","3.787","71.9","9.4","6.3","6.3",".",".",".",".",".",".",".",".","6.3",".",".","."
"601","011","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","41","3.828","78.0","7.3","4.9","4.9",".",".",".",".",".",".",".",".","4.9",".",".","."
"650
Parent Educ & Support Programs","001","","46","3.674","67.4","17.4","10.9",".","2.2",".","2.2",".",".",".",".",".",".",".",".","."
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Theory & Issues-Human Dev","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"763
Aging and the Family","001","","11","3.650","72.7",".",".","9.1","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"766","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"766","002","","8","3.714","37.5","50.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"766","003","","10","3.700","70.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Current Iss-Family Living","Course Total","","28","3.738","67.9","17.9","7.1","3.6",".",".",".",".",".",".",".",".","3.6",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","20","",".",".",".",".",".",".",".","85.0",".",".",".","15.0",".",".",".","."
