"L&S","","","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"SOC
900","Dept. Total","2614","3.358","37.7","23.2","16.8","7.5","6.0","1.3","0.7","4.9","",".","0.2","",".","0.2","1.2","0.2","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","243","3.088","21.8","25.9","23.5","14.0","11.5","0.8","1.6",".","",".","0.4","",".",".","0.4",".",".","."
"Sophomore","","573","3.361","33.9","29.8","20.9","7.5","6.1","0.7","0.3",".","",".","0.3","",".",".","0.3",".",".","."
"Junior","","666","3.354","39.5","26.6","17.0","6.8","6.0","2.3","1.2",".","",".",".","",".",".","0.8",".",".","."
"Senior","","788","3.374","41.6","21.3","17.1","8.6","6.3","1.6","0.4","1.1","",".","0.4","",".",".","0.9","0.3","0.3","."
"Undergraduates","","2270","3.333","36.9","25.5","18.7","8.4","6.7","1.5","0.7","0.4","",".","0.3","",".",".","0.7","0.1","0.1","."
"Special","","24","3.270","37.5","16.7","16.7","8.3","12.5",".",".","4.2","",".",".","",".",".",".",".","4.2","."
"Graduate","","318","3.819","43.4","6.9","2.8","1.3",".",".",".","37.1","",".",".","",".","1.9","5.3","0.9","0.3","."
"Prof Yr 1","","2","3.714","50.0","50.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","2","3.714","50.0","50.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","2614","3.358","37.7","23.2","16.8","7.5","6.0","1.3","0.7","4.9","",".","0.2","",".","0.2","1.2","0.2","0.2","."
