"HUMAN ONCOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","",""
"410
Radiobiology","001","","10","3.444","20.0","40.0","30.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","156","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","161","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Hum Cancer Bio","Course Total","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"910","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","2","***","","","","","","","","","","","","","","","",""
"922","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiation Oncology-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"990
Rsch in Human Cancer Bio","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"H ONCOL
480","Dept. Total","","23","3.783","56.5","17.4","13.0",".",".",".",".","8.7",".",".",".",".",".",".","4.3","."
