"IES","","","","","","","","","","","","","","","","","","","",""
"ENVIR ST - GAYLORD NELSON I","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"ENVIR ST
360","Dept. Total","1504","3.383","42.8","20.0","18.9","6.8","4.3","0.9","0.6","3.1","0.1","0.5","",".","1.1","0.4","0.2","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","98","2.975","16.3","30.6","26.5","11.2","5.1","6.1","3.1",".",".",".","",".",".","1.0",".",".","."
"Sophomore","","259","3.306","36.7","23.2","25.9","8.5","3.5","1.5","0.4",".",".",".","",".",".","0.4",".",".","."
"Junior","","295","3.267","38.6","20.0","22.0","8.5","8.8","0.7","1.0",".",".",".","",".",".",".","0.3",".","."
"Senior","","619","3.473","49.1","20.5","18.1","6.5","3.7","0.3","0.3","0.6",".",".","",".",".","0.6","0.2",".","."
"Undergraduates","","1271","3.349","41.6","21.7","21.2","7.7","5.0","1.1","0.7","0.3",".",".","",".",".","0.5","0.2",".","."
"Special","","30","3.295","23.3","20.0","23.3","10.0","3.3",".",".","16.7",".",".","",".",".",".","3.3",".","."
"Graduate","","200","3.800","52.5","9.5","4.0","1.0","0.5",".",".","19.0","0.5","3.5","",".","8.5",".",".","1.0","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","3","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","1504","3.383","42.8","20.0","18.9","6.8","4.3","0.9","0.6","3.1","0.1","0.5","",".","1.1","0.4","0.2","0.1","."
