"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
002","69","3.348","24.6","33.3","30.4","10.1","1.4",".",".",".",".",".",".",".",".",".",".","."
"","004
101","77","3.052","18.2","23.4","24.7","23.4","7.8","2.6",".",".",".",".",".",".",".",".",".","."
"","005
101","96","3.172","22.9","31.3","27.1","7.3","7.3","2.1","2.1",".",".",".",".",".",".",".",".","."
"","101
006","74","3.411","31.1","28.4","29.7","9.5",".",".",".",".",".",".",".",".","1.4",".",".","."
"","101
007","65","3.108","21.5","33.8","23.1","9.2","4.6","4.6","3.1",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","381","3.214","23.6","29.9","27.0","11.8","4.5","1.8","1.0",".",".",".",".",".","0.3",".",".","."
"Spec Topics:Philos-Freshmen","001
104","17","3.500","41.2","17.6","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reason in Communication","210
001","85","3.000","23.5","18.8","21.2","16.5","15.3","4.7",".",".",".",".",".",".",".",".",".","."
"","211
001","73","2.764","24.7","17.8","16.4","6.8","17.8","9.6","5.5","1.4",".",".",".",".",".",".",".","."
"","002
211","75","3.547","29.3","54.7","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","211
003","99","3.109","41.4","14.1","14.1","5.1","13.1","5.1","4.0","2.0",".",".",".",".",".","1.0",".","."
"Elementary Logic","Course Total","247","3.142","32.8","27.5","14.2","5.3","10.5","4.9","3.2","1.2",".",".",".",".",".","0.4",".","."
"","001
241","66","3.338","24.2","39.4","28.8","3.0",".",".","3.0",".",".",".",".",".","1.5",".",".","."
"","241
002","75","3.446","30.7","34.7","28.0","2.7","2.7",".",".",".",".",".",".",".",".","1.3",".","."
"","241
003","62","3.476","25.8","61.3","6.5","1.6","3.2",".","1.6",".",".",".",".",".",".",".",".","."
"","004
241","74","3.570","41.9","33.8","14.9","2.7","2.7",".",".",".",".",".",".",".","1.4","2.7",".","."
"Introductory Ethics","Course Total","277","3.460","31.0","41.5","19.9","2.5","2.2",".","1.1",".",".",".",".",".","0.7","1.1",".","."
"","341
001","116","3.561","31.9","47.4","18.1","0.9",".",".",".","0.9",".",".",".",".",".","0.9",".","."
"","002
341","67","3.381","29.9","32.8","28.4","7.5",".",".","1.5",".",".",".",".",".",".",".",".","."
"","003
341","71","3.000","18.3","21.1","26.8","21.1","9.9",".","2.8",".",".",".",".",".",".",".",".","."
"","341
004","64","2.969","14.1","31.3","25.0","9.4","14.1","4.7","1.6",".",".",".",".",".",".",".",".","."
"","005
341","57","3.000","19.3","24.6","19.3","21.1","12.3","1.8","1.8",".",".",".",".",".",".",".",".","."
"","341
093","20","3.775","55.0","45.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
094","21","3.400","28.6","33.3","23.8","4.8","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"","341
095","20","3.947","85.0","10.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","341
096","17","3.618","47.1","29.4","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","453","3.311","29.1","32.9","21.0","8.8","5.3","0.9","1.1","0.4",".",".",".",".","0.2","0.2",".","."
"Hist of Ancient Philosophy","430
001","40","3.513","45.0","25.0","22.5","2.5","5.0",".",".",".",".",".",".",".",".",".",".","."
"History-Modern Philosophy","432
001","37","3.135","29.7","21.6","10.8","21.6","16.2",".",".",".",".",".",".",".",".",".",".","."
"Existentialism","440
002","22","3.050","18.2","22.7","22.7","22.7",".",".","4.5",".",".",".",".",".",".","4.5","4.5","."
"Classical Philosophers","454
001","10","3.350","30.0","30.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Junior Honors Seminar","481
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Seminar","482
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory of Knowledge","503
001","17","3.382","29.4","23.5","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Tops-Theory of Knowldg","504
001","13","3.500","46.2","15.4","23.1",".","7.7",".",".",".",".",".",".",".","7.7",".",".","."
"Justice and Health Care","505
001","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Logic","512
001","12","3.375","33.3","33.3","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Public Health Ethics","515
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language and Meaning","516
001","12","3.500","41.7","33.3",".","8.3","8.3",".",".",".",".",".",".",".","8.3",".",".","."
"Freedom Fate and Choice","530
001","20","3.375","45.0","25.0","20.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"Modern Ethical Theories","541
001","16","3.500","43.8","25.0","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Great Moral Philosophers","549
001","11","3.455","36.4","36.4","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Philosophy of Mind","551
001","17","3.059","23.5","17.6","17.6","29.4","11.8",".",".",".",".",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","Page 278 of 409",""
