"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","","","",""
"Externship","Course Total","66","",".",".",".",".",".","",".","",".","100.0",".",".",".","",".",".",".",".","."
"MED SC-V
623","Dept. Total","1224","3.687","27.0","4.9","4.2","0.7","0.7","",".","",".","55.1",".",".",".","",".","5.2",".","2.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","4.000","66.7",".",".",".",".","",".","",".",".",".",".",".","",".",".",".","33.3","."
"Junior","","4","4.000","25.0",".",".",".",".","",".","",".",".",".",".",".","",".",".",".","75.0","."
"Senior","","7","4.000","28.6",".",".",".",".","",".","",".",".",".",".",".","",".",".",".","71.4","."
"Undergraduates","","14","4.000","35.7",".",".",".",".","",".","",".",".",".",".",".","",".",".",".","64.3","."
"Special","","1","",".",".",".",".",".","",".","",".","100.0",".",".",".","",".",".",".",".","."
"Prof Yr 1","","316","3.678","19.3","9.2","3.8","1.3","0.3","",".","",".","53.2",".",".",".","",".","7.9",".","5.1","."
"Prof Yr 2","","119","4.000","3.4",".",".",".",".","",".","",".","63.0",".",".",".","",".","31.9",".","1.7","."
"Prof Yr 3","","414","3.574","36.5","7.5","9.7","1.0","1.7","",".","",".","43.7",".",".",".","",".",".",".",".","."
"Prof Yr 4","","361","4.000","30.7",".",".",".",".","",".","",".","69.0",".",".",".","",".","0.3",".",".","."
"Professionals","","1210","3.683","27.0","5.0","4.3","0.7","0.7","",".","",".","55.6",".",".",".","",".","5.3",".","1.5","."
"","Dept. Total","1225","3.687","27.1","4.9","4.2","0.7","0.7","",".","",".","55.0",".",".",".","",".","5.2",".","2.2","."
