"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","320
005","24","3.688","54.2","37.5","4.2",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","006
320","24","3.688","58.3","20.8","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
007","22","3.409","45.5","22.7","22.7","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","163","3.626","60.7","19.0","16.0","0.6","1.8",".","1.8",".",".",".",".",".",".",".",".","."
"","322
001","25","3.500","40.0","36.0","20.0",".",".","4.0",".",".",".",".",".",".",".",".",".","."
"","002
322","23","3.543","52.2","17.4","21.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Survey of Early Hispanic Lit","Course Total","48","3.521","45.8","27.1","20.8","2.1","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"","324
001","24","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","21","3.667","71.4","14.3","4.8","4.8",".","4.8",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Spanish Lit","Course Total","45","3.800","82.2","6.7","6.7","2.2",".","2.2",".",".",".",".",".",".",".",".",".","."
"","325
001","18","3.647","44.4","33.3","16.7",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","325
002","14","2.964","21.4","21.4","28.6","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","325
003","9","3.611","55.6","33.3",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","325
004","14","3.536","71.4","7.1","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","325
005","21","3.690","66.7","19.0","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","006
325","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Conversation","Course Total","95","3.585","58.9","20.0","11.6","3.2","3.2",".","2.1","1.1",".",".",".",".",".",".",".","."
"","326
001","22","3.432","50.0","18.2","18.2","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","326
002","22","3.795","81.8","4.5","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","326
003","20","3.700","65.0","30.0",".",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"Survey of Spanish American Lit","Course Total","64","3.641","65.6","17.2","9.4","1.6","3.1","3.1",".",".",".",".",".",".",".",".",".","."
"","327
001","20","3.400","45.0","20.0","25.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","327
002","25","3.160","12.0","40.0","24.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","327
003","21","3.167","23.8","28.6","14.3","23.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Spanish Linguistics","Course Total","66","3.235","25.8","30.3","21.2","13.6","7.6","1.5",".",".",".",".",".",".",".",".",".","."
"Spanish for Business","001
329","24","3.833","79.2","12.5","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Civilization","361
001","23","3.587","43.5","30.4","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","363
001","24","3.667","62.5","16.7","16.7",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","363
002","21","3.875","71.4","23.8",".",".",".",".",".",".",".",".",".",".",".","4.8",".","."
"Spanish Amer Civilization","Course Total","45","3.761","66.7","20.0","8.9",".","2.2",".",".",".",".",".",".",".",".","2.2",".","."
"Intro to Romance Languages","429
001","81","3.574","55.6","23.5","12.3","4.9",".","3.7",".",".",".",".",".",".",".",".",".","."
"Cervantes","435
001","21","3.595","52.4","28.6","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Topics in Spanish Linguistics","446
001","21","3.714","76.2","14.3",".","4.8",".","4.8",".",".",".",".",".",".",".",".",".","."
"Lit-Twentieth Century","453
001","24","3.667","50.0","37.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Am Theater & Drama","462
001","22","3.568","63.6","13.6","13.6",".","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","468
001","23","3.826","69.6","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","468
002","20","3.125","25.0","10.0","35.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","003
468","21","3.310","33.3","33.3","19.0","9.5",".",".","4.8",".",".",".",".",".",".",".",".","."
"Topics in Hispanic Culture","Course Total","64","3.438","43.8","23.4","18.8","10.9","1.6",".","1.6",".",".",".",".",".",".",".",".","."
"Smr:Hispanic Lit/Cultr/Ling","470
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Study Abroad-Hispanic Cultures","476
000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Surv-Sp Am Lit:Modrn-Presnt","502
001","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Linguistics-Teachers","544
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
