"EGR","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"","349
005","16","3.781","75.0","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","349
007","20","3.075","5.0","25.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","94","3.186","29.8","20.2","27.7","12.8","5.3","3.2","1.1",".",".",".",".",".",".",".",".","."
"Interdis Exper Dsgn Projects I","351
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","352
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","352
003","14","3.607","57.1","14.3","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","352
004","15","3.533","40.0","33.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II","Course Total","34","3.603","50.0","26.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","361
001","54","2.722","7.4","16.7","27.8","20.4","22.2","5.6",".",".",".",".",".",".",".",".",".","."
"","002
361","67","2.888","31.3","16.4","13.4","9.0","17.9","7.5","4.5",".",".",".",".",".",".",".",".","."
"","361
003","41","2.841","14.6","7.3","39.0","19.5","14.6","4.9",".",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","162","2.821","19.1","14.2","24.7","15.4","18.5","6.2","1.9",".",".",".",".",".",".",".",".","."
"","363
001","104","3.163","8.7","47.1","25.0","14.4","2.9",".","1.9",".",".",".",".",".",".",".",".","."
"","363
002","27","3.111","14.8","22.2","40.7","14.8","7.4",".",".",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","131","3.153","9.9","42.0","28.2","14.5","3.8",".","1.5",".",".",".",".",".",".",".",".","."
"","364
001","65","3.477","53.8","21.5","6.2","9.2","6.2","3.1",".",".",".",".",".",".",".",".",".","."
"","364
002","57","3.167","36.8","19.3","24.6","7.0","1.8","7.0","3.5",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","Course Total","122","3.332","45.9","20.5","14.8","8.2","4.1","4.9","1.6",".",".",".",".",".",".",".",".","."
"Engr Measure & Instrumentation","368
001","115","3.241","17.4","29.6","40.9","7.8","2.6","0.9",".",".",".",".",".",".","0.9",".",".","."
"Energy Systems Laboratory","370
001","102","2.926","14.7","18.6","25.5","19.6","21.6",".",".",".",".",".",".",".",".",".",".","."
"","417
002","28","3.900","71.4","17.9",".",".",".",".",".",".",".",".",".",".","10.7",".",".","."
"","417
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Polymer Processing","Course Total","30","3.907","73.3","16.7",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","001
418","82","3.585","46.3","28.0","23.2","1.2","1.2",".",".",".",".",".",".",".",".",".",".","."
"","002
418","35","3.743","62.9","22.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","119","3.634","51.3","26.9","20.2","0.8","0.8",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design","424
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rheology of Foods&Biomaterials","441
001","12","3.167","8.3","50.0","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"Automatic Controls","446
003","13","3.333","23.1","38.5","15.4","7.7","7.7",".",".",".",".",".",".",".","7.7",".",".","."
"","447
001","30","3.069","13.3","26.7","26.7","20.0","10.0",".",".",".",".",".",".",".","3.3",".",".","."
"","447
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Comptr Cntrl-Machns&Process","Course Total","33","3.125","15.2","30.3","24.2","18.2","9.1",".",".",".",".",".",".",".","3.0",".",".","."
"Design&Dynamics of Vehicles","450
001","32","2.806","18.8","15.6","21.9","21.9","6.3","9.4","3.1","3.1",".",".",".",".",".",".",".","."
"Thermal Systems Modeling","461
001","43","2.964","7.0","27.9","25.6","25.6","11.6",".",".","2.3",".",".",".",".",".",".",".","."
"Welding Metallurgy","462
001","23","3.435","26.1","43.5","26.1",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Air Pollutn-Measure&Control","466
001","48","3.260","29.2","8.3","54.2","2.1","6.3",".",".",".",".",".",".",".",".",".",".","."
"Engr Princpl Off-Road Vehicles","476
001","22","2.932","4.5","9.1","72.7","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","489
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","Page 136 of 409",""
