"ASTRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","",""
"103
The Evolving Universe","001","","243","2.969","15.2","16.0","37.4","14.0","12.8","2.1","0.8","0.8",".",".",".",".","0.8",".",".","."
"104
Exploration of Solar System","001","","131","3.208","31.3","26.0","20.6","9.2","7.6","2.3","2.3",".",".",".",".",".",".",".","0.8","."
"114","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"114","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"114","003","","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"114","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Hands on the Solar System","Course Total","","22","3.477","63.6",".","27.3","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"150
Topics in Astronomy","001","","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"160
Life in the Universe","001","","131","2.758","12.2","19.1","17.6","19.1","24.4","4.6","0.8","0.8",".",".",".",".",".",".","1.5","."
"199
Directed Study","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"335
Cosmology","001","","17","3.412","64.7","11.8",".","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"550
Astrodynamics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Directed Study","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"702
Basic Astrophysics II","001","","9","3.500","22.2","22.2","22.2",".",".",".",".","22.2",".",".",".",".","11.1",".",".","."
"730
Galaxies","001","","12","3.542","41.7","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Seminar in Astrophysics","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Smnar-Astrophysical Topics","001","","11","3.667","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","27","",".",".",".",".",".",".",".","77.8",".",".",".","22.2",".",".",".","."
