"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOLOGY CORE CURRICULUM","Section","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cellular Biology","383
001","109","3.161","32.1","17.4","21.1","14.7","11.9","2.8",".","",".","",".","",".",".","",".","",".","",".",".","."
"","384
001","22","3.295","18.2","22.7","59.1",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"","384
002","20","3.342","30.0","10.0","50.0","5.0",".",".",".","",".","",".","",".",".","",".","",".","",".",".","5.0"
"","003
384","21","3.119","14.3","14.3","61.9",".","9.5",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"","384
004","20","3.625","60.0","5.0","35.0",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"","384
005","17","3.059","23.5",".","64.7",".","5.9","5.9",".","",".","",".","",".",".","",".","",".","",".",".","."
"Cellular Biology Laboratory","Course Total","100","3.293","29.0","11.0","54.0","1.0","3.0","1.0","",".","",".","",".",".","",".","",".","",".",".",".","1.0"
"Biological Interactions","587
001","83","3.018","14.5","14.5","47.0","8.4","15.7",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"Directed Study","699
002","10","3.950","90.0","10.0",".",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"BIOCORE
206","Dept. Total","302","3.159","28.1","14.2","38.4","7.9","9.6","1.3","",".","",".","",".",".","",".","",".","",".",".",".","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","19","3.281","31.6","21.1","26.3","15.8","5.3",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","146","3.176","29.5","13.0","39.0","6.8","8.9","2.1","",".","",".","",".",".","",".","",".","",".",".",".","0.7"
"Senior","","135","3.125","25.9","14.8","40.0","8.1","10.4","0.7","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","300","3.159","28.0","14.3","38.7","8.0","9.3","1.3","",".","",".","",".",".","",".","",".","",".",".",".","0.3"
"Special","","2","3.200","50.0",".",".",".","50.0",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","302","3.159","28.1","14.2","38.4","7.9","9.6","1.3","",".","",".","",".",".","",".","",".","",".",".",".","0.3"
