"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"699","016","","36","4.000","97.2",".",".",".",".",".",".",".",".",".",".",".","2.8",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","109","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","115","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","166","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","187","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","209","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","66","4.000","98.5",".",".",".",".",".",".",".",".",".",".",".","1.5",".",".","."
"735
EmethodologyConvAnalysis","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"756
Adv Demographic Methods","001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"773
Intermediate Classical Theory","001","","17","3.706","70.6",".","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","18","4.000","94.4",".",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"901
Smr: Topics in Current Soc","001","","12","3.944","66.7","8.3",".",".",".",".",".","8.3",".",".",".",".","16.7",".",".","."
"923
Smr-Social Stratification","001","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"924
Seminar-Political Sociology","001","","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"925
Soc-Econ Chng-Underdev Area","001","","8","4.000","12.5",".",".",".",".",".",".","25.0",".",".",".",".","62.5",".",".","."
"952
Math&Stat Applications-Soc","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"955
Smr-Qualitative Methodology","001","","12","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"984
Rsch:Sociol of Gender Trainees","001","","8","3.875","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"987
Rsch: Race & Ethnic Studies","001","","7","4.000","57.1",".",".",".",".",".",".",".",".",".",".",".",".","42.9",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","071","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","Page 309 of 409",""
