"BUS","","","","","","","","","","","","","","","","","","","",""
"ACTUARIAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"","300
001","","23","3.848","87.0","4.3","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","002
300","","35","3.971","94.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods I","Course Total","","58","3.922","91.4","5.2","1.7",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"","301
001","","43","3.953","93.0","4.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","","41","3.951","92.7","4.9","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods II","Course Total","","84","3.952","92.9","4.8","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
001","","48","3.354","33.3","25.0","22.9","16.7","2.1",".",".",".",".",".",".",".",".",".",".","."
"","303
002","","39","3.282","25.6","30.8","23.1","15.4","5.1",".",".",".",".",".",".",".",".",".",".","."
"Theory-Interst & Life Insur","Course Total","","87","3.322","29.9","27.6","23.0","16.1","3.4",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"Actuarial Mathematics I","650
001","","30","3.033","20.0","16.7","26.7","23.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"","651
001","","38","3.329","31.6","28.9","21.1","10.5","7.9",".",".",".",".",".",".",".",".",".",".","."
"","002
651","","27","3.333","33.3","29.6","18.5","7.4","11.1",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Mathematics II","Course Total","","65","3.331","32.3","29.2","20.0","9.2","9.2",".",".",".",".",".",".",".",".",".",".","."
"Loss Models I","001
652","","11","3.000","27.3","27.3","9.1","27.3",".",".","9.1",".",".",".",".",".",".",".",".","."
"","653
001","","21","3.275","28.6","19.0","33.3","4.8","9.5",".",".","4.8",".",".",".",".",".",".",".","."
"","653
002","","22","3.275","22.7","18.2","36.4","13.6",".",".",".","4.5",".",".",".",".",".","4.5",".","."
"Loss Models II","Course Total","","43","3.275","25.6","18.6","34.9","9.3","4.7",".",".","4.7",".",".",".",".",".","2.3",".","."
"Regressn&Time Series-Actuaries","654
001","","31","3.226","38.7","12.9","12.9","25.8","9.7",".",".",".",".",".",".",".",".",".",".","."
"ACT SCI
242","Dept. Total","","421","3.370","52.5","16.6","15.2","10.0","4.5",".","0.2","0.5",".",".",".",".",".","0.2","0.2","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","4","3.063","50.0",".","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","","98","3.466","60.2","18.4","10.2","9.2","2.0",".",".",".",".",".",".",".",".",".",".","."
"Junior","","","119","3.493","68.1","9.2","12.6","7.6","2.5",".",".",".",".",".",".",".",".",".",".","."
"Senior","","","153","3.309","40.5","20.3","19.0","11.1","6.5",".","0.7","1.3",".",".",".",".",".","0.7",".","."
"Undergraduates","","","374","3.392","54.5","16.0","14.7","9.6","4.0",".","0.3","0.5",".",".",".",".",".","0.3",".","."
"Special","","","45","3.211","35.6","22.2","17.8","13.3","8.9",".",".",".",".",".",".",".",".",".","2.2","."
"Graduate","","","2","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","","421","3.370","52.5","16.6","15.2","10.0","4.5",".","0.2","0.5",".",".",".",".",".","0.2","0.2","."
