"RELIGIOUS STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","","",""
"Religion in Global Perspective","101","001","","88","3.707","53.4","39.8","4.5",".",".",".","1.1","1.1",".",".",".",".",".",".",".","."
"Introduction to the Qur'an","206","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"West Intell & Rel Hist to 1500","208","002","","11","3.455","18.2","54.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genres-Westrn Relig Writing","234","001","","9","3.167","33.3","33.3",".","22.2",".","11.1",".",".",".",".",".",".",".",".",".","."
"Genres-Asian Religious Writing","235","001","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lt Tran:Dante-Divine Comedy","253","001","","11","3.227","18.2","27.3","45.5",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Lits of Muslim Societies-Trans","257","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Food in Rabbinic Judaism","278","001","","11","3.182","9.1","45.5","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Classical Rabbinic Lit in Tran","328","001","","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Prophets of the Bible","332","001","","20","3.225","5.0","50.0","35.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Literatures-Muslim Societies","357","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Lit: Pauline Christianity","361","001","","54","3.346","31.5","29.6","22.2","7.4","3.7",".","1.9","1.9",".",".",".",".","1.9",".",".","."
"Intro to Confucianism","363","001","","12","3.318","8.3","41.7","41.7",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"Introduction to Buddhism","364","001","","50","3.311","32.0","24.0","14.0","16.0",".","4.0",".",".",".",".",".",".","6.0",".","4.0","."
"The Rhetoric of Religion","374","001","","18","3.000","5.6","16.7","55.6","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","400","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Relig St-Humanities","","Course Total","","10","3.375","50.0","30.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Thought of Gandhi","402","001","","30","3.286","26.7","20.0","30.0","13.3","3.3",".",".","6.7",".",".",".",".",".",".",".","."
"Milton","434","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Buddhism&Soc-SE Asian Hist","438","001","","12","2.727","16.7","25.0","8.3","8.3","25.0",".","8.3",".",".",".",".",".","8.3",".",".","."
"Islamic Hist:Orig-Ottoman Empr","439","001","","7","3.704","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Res & Colloq","601","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
