"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","481","2.971","16.6","18.9","30.4","16.8","13.1","3.7",".","0.4",".",".",".",".",".",".",".","."
"132","002","","488","2.851","12.3","13.3","33.6","20.9","16.4","2.9","0.4",".",".",".",".",".",".","0.2",".","."
"132","003","","170","2.877","14.1","16.5","29.4","13.5","21.8","2.9",".","1.8",".",".",".",".",".",".",".","."
"Nutrition Today","Course Total","1139","","2.906","14.4","16.2","31.6","18.1","15.8","3.2","0.2","0.4",".",".",".",".",".","0.1",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","6","3.846","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","069","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","29","3.958","93.1","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","13","3.154","23.1","23.1","30.8","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"332
Human Nutritional Needs","001","","158","2.975","20.9","11.4","39.2","7.6","17.1","3.2","0.6",".",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","119","3.622","52.9","31.1","9.2","4.2","1.7",".","0.8",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"421","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"421","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"421","003","","20","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"421","004","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Global Health Field Experience","Course Total","","49","4.000","57.1",".",".",".",".",".",".",".",".",".",".",".","42.9",".",".","."
"431
Nutrition in the Life Span","001","","84","3.190","17.9","35.7","32.1",".","11.9","2.4",".",".",".",".",".",".",".",".",".","."
"500
Undergrad Capstone Seminar Lab","001","","35","3.943","88.6","11.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","40","3.238","32.5","12.5","40.0",".","15.0",".",".",".",".",".",".",".",".",".",".","."
"520
Applications-Clin Nutrition","001","","33","3.758","57.6","36.4","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"619
Adv Nutr: Metab-Macronutrients","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"621
Intro-Nutritnl Epidemiology","002","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"653
Clinical Nutrition Research","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"692
Senior Thesis","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","9","3.857","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Special Topics","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"881
Smr-Human&Clinicl Nutrition","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"991","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","","Page 38 of 409"
