"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"489","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"491","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","015","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","042","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"491","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects I","Course Total","","44","3.904","81.8","13.6","2.3",".",".",".",".",".",".",".",".",".",".",".","2.3","."
"492","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"492","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects II","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"508
Composite Materials","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"520
2-Phase Flow & Heat Transfr","001","","17","3.324",".","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"563
Intermediate Fluid Dynamics","001","","29","3.362","44.8","10.3","31.0","6.9","3.4","3.4",".",".",".",".",".",".",".",".",".","."
"564
Heat Transfer","001","","47","3.447","38.3","34.0","17.0","4.3","4.3","2.1",".",".",".",".",".",".",".",".",".","."
"573
Computational Fluid Dynamcs","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"577
Automatic Controls Lab","001","","14","3.571","14.3","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","004","","24","3.458","29.2","37.5","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"601","005","","23","3.619","39.1","34.8","17.4",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"601","006","","15","3.600","46.7","26.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","007","","26","3.750","57.7","34.6","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Mech Engr","Course Total","","88","3.610","43.2","34.1","19.3","1.1",".",".",".","2.3",".",".",".",".",".",".",".","."
"603
Topics-Bio-Medical Engr","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
