"L&S","","","","","","","","","","","","","","","","","","","",""
"E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"377
Bus Japanese Communication","001","","20","3.450","45.0","35.0","10.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"379
Business Chinese","001","","20","3.650","55.0","25.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"402
Eighth Semester Chinese","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"404
Eighth Semester Japanese","001","","16","3.313","37.5","18.8","25.0","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"406
Eighth Semester Korean","001","","12","3.625","58.3","25.0",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"432
Intro to Chinese Ling","001","","42","3.639","35.7","40.5","7.1","2.4",".",".",".",".",".",".",".",".","14.3",".",".","."
"450
Japanese for Politics&Govrnmnt","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"520
Pop Culture & Film-20 C China","001","","15","3.583","40.0","20.0","13.3","6.7",".",".",".",".",".",".",".",".","6.7","13.3",".","."
"632
History of Chinese Language","001","","9","3.938","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"652
History-Chinese Literature","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"661
Hist-Chinese Thought, Part 1","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"698
Directed Study","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","3.941","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"763
Studies-Japanese Literature","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775
Stdys-Japanese Linguistics","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"951
Smr-Chinese Literature","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","21","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
