"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"N E","","","","","","","","","","","","","","","","","","",""
"Freshmen","3","",".",".",".",".",".","",".",".",".",".","100.0",".",".",".",".",".","."
"Sophomore","12","",".",".",".",".",".","",".",".",".",".","91.7","8.3",".",".",".",".","."
"Junior","9","3.250","22.2",".","11.1","11.1",".","",".",".",".",".","44.4",".",".",".",".","11.1","."
"Senior","141","3.478","38.3","27.7","20.6","2.1","5.0","",".","1.4",".",".","2.8",".",".","2.1",".",".","."
"Undergraduates","165","3.473","33.9","23.6","18.2","2.4","4.2","",".","1.2",".",".","13.3","0.6",".","1.8",".","0.6","."
"Special","17","3.106","5.9","11.8","70.6","5.9",".","",".",".",".",".","5.9",".",".",".",".",".","."
"Graduate","160","3.645","27.5","18.1","10.0","0.6",".","",".",".","27.5","0.6",".",".","15.6",".",".",".","."
"Prof Yr 3","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Professionals","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
