"EGR","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","58","3.981","91.4",".","1.7",".",".",".",".",".",".",".",".",".","6.9",".",".","."
"","160
002","22","3.864","77.3","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
160","21","3.425","33.3","38.1","9.5","4.8","9.5",".",".",".",".",".",".",".","4.8",".",".","."
"Architectural Graphics","Course Total","43","3.655","55.8","27.9","7.0","2.3","4.7",".",".",".",".",".",".",".","2.3",".",".","."
"","170
002","24","3.271","20.8","41.7","16.7","12.5","8.3",".",".",".",".",".",".",".",".",".",".","."
"","170
003","25","3.240","36.0","24.0","16.0","8.0","12.0","4.0",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","49","3.255","28.6","32.7","16.3","10.2","10.2","2.0",".",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","231
001","198","3.015","25.8","20.7","20.2","12.6","15.7","2.5","2.5",".",".",".",".",".",".",".",".","."
"Dynamics","001
240","164","3.006","18.9","22.0","24.4","20.7","10.4","2.4","1.2",".",".",".",".",".",".",".",".","."
"","291
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","291
050","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","050
299","32","3.873","71.9","28.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","33","3.877","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
306","70","2.814","14.3","24.3","15.7","21.4","14.3","10.0",".",".",".",".",".",".",".",".",".","."
"","306
002","103","2.859","13.6","15.5","32.0","22.3","10.7","3.9","1.9",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","173","2.841","13.9","19.1","25.4","22.0","12.1","6.4","1.2",".",".",".",".",".",".",".",".","."
"","307
001","13","3.615","46.2","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","13","3.115","30.8","23.1","15.4",".","30.8",".",".",".",".",".",".",".",".",".",".","."
"","003
307","11","3.136","27.3",".","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","11","2.955","9.1","9.1","45.5","36.4",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","13","3.308","15.4","30.8","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
307","12","3.083","8.3","33.3","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","15","3.167","20.0","20.0","40.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","307
009","10","3.650","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","307
010","13","3.038","30.8",".","30.8","23.1","15.4",".",".",".",".",".",".",".",".",".",".","."
"","011
307","7","3.000","14.3",".","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","307
012","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
013","11","3.455","45.5","27.3","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","307
014","10","3.200","20.0","30.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","145","3.234","26.9","21.4","29.7","15.9","6.2",".",".",".",".",".",".",".",".",".",".","."
"","313
001","54","3.250","14.8","37.0","35.2","9.3","3.7",".",".",".",".",".",".",".",".",".",".","."
"","313
002","66","3.341","19.7","40.9","27.3","12.1",".",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","120","3.300","17.5","39.2","30.8","10.8","1.7",".",".",".",".",".",".",".",".",".",".","."
"","314
001","47","2.883","12.8","23.4","19.1","21.3","21.3","2.1",".",".",".",".",".",".",".",".",".","."
"","314
002","47","2.819","10.6","14.9","25.5","25.5","23.4",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Fundamentals","Course Total","94","2.851","11.7","19.1","22.3","23.4","22.3","1.1",".",".",".",".",".",".",".",".",".","."
"Geom Modeling-Engr Applcatn","001
331","106","2.849","11.3","17.0","40.6","15.1","8.5","3.8","3.8",".",".",".",".",".",".",".",".","."
"Intro to Dynamic Systems","340
001","102","2.956","18.6","26.5","18.6","13.7","17.6","2.9","2.0",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","001
342","114","2.947","20.2","17.5","29.8","7.0","20.2","5.3",".",".",".",".",".",".",".",".",".","."
"","349
002","18","2.472","22.2","5.6","16.7","11.1","22.2","16.7","5.6",".",".",".",".",".",".",".",".","."
"","349
003","20","3.200","15.0","25.0","50.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","349
004","20","3.450","40.0","30.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","Page 135 of 409",""
