"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","24","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","250
001","","44","3.045","25.0","15.9","25.0","20.5","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"","250
002","","22","2.659",".","27.3","18.2","31.8","13.6","9.1",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","Course Total","","66","2.917","16.7","19.7","22.7","24.2","10.6","6.1",".",".",".",".",".",".",".",".",".","."
"Intro to Chem Process Modeling","255
001","","58","3.017","19.0","25.9","19.0","22.4","8.6","5.2",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","310
001","","38","3.000","21.1","23.7","18.4","18.4","13.2","5.3",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311
001","","42","3.036","26.2","7.1","33.3","23.8","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320
001","","50","3.050","24.0","26.0","18.0","16.0","8.0","8.0",".",".",".",".",".",".",".",".",".","."
"","324
001","","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","","15","3.233","20.0","33.3","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","324
003","","15","3.333","20.0","40.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","324
004","","13","3.346","15.4","46.2","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","55","3.391","23.6","43.6","21.8","9.1","1.8",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326
001","","59","2.983","13.6","22.0","27.1","22.0","15.3",".",".",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426
001","","28","3.000","25.0","14.3","32.1","7.1","17.9",".","3.6",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430
001","","55","3.155","23.6","23.6","25.5","18.2","7.3","1.8",".",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440
001","","58","2.991","29.3","15.5","19.0","13.8","15.5","5.2","1.7",".",".",".",".",".",".",".",".","."
"Process Design","450
001","","58","3.138","27.6","19.0","25.9","15.5","8.6","3.4",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470
001","","53","2.934","17.0","24.5","22.6","11.3","18.9","5.7",".",".",".",".",".",".",".",".",".","."
"","489
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Seminar-Chem Engr Connections","555
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
002","","38","3.513","55.3","10.5","23.7","2.6","7.9",".",".",".",".",".",".",".",".",".",".","."
"","562
005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
007","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
010","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","Course Total","","61","3.632","72.1","6.6","14.8","1.6","4.9",".",".",".",".",".",".",".",".",".",".","."
"Instrmntl Anal-Chem Engr","575
001","","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Transport Phenomena","620
001","","27","3.538","44.4","14.8","37.0",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"","699
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Independent Studies","Course Total","","3","***","","","","","","","","","","","","","","","",""
