"ENGR MECHANICS & ASTRONA","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","001","","212","2.635","17.5","8.0","32.1","6.1","23.1","6.6","6.1",".",".",".",".",".","0.5",".",".","."
"","201","002","","149","2.477","12.1","9.4","27.5","9.4","24.2","12.1","5.4",".",".",".",".",".",".",".",".","."
"Statics","","Course Total","","361","2.569","15.2","8.6","30.2","7.5","23.5","8.9","5.8",".",".",".",".",".","0.3",".",".","."
"Dynamics","202","001","","79","2.361","6.3","7.6","21.5","26.6","20.3","12.7","5.1",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","303","001","","96","2.609","13.5","9.4","15.6","31.3","18.8","11.5",".",".",".",".",".",".",".",".",".","."
"","307","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307","004","","7","3.143","28.6","14.3","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".","."
"","307","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307","009","","8","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307","011","","8","3.000","12.5","12.5","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","307","012","","12","2.833","8.3",".","58.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","307","013","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307","014","","8","3.313","25.0","37.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","","Course Total","","79","3.101","17.7","19.0","38.0","16.5","8.9",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Finite Elements","405","001","","34","3.206","26.5","29.4","26.5","5.9","8.8",".","2.9",".",".",".",".",".",".",".",".","."
"Intermed Problem Solving-Engrs","471","002","","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fracture Mechanics","519","001","","7","2.667","28.6",".",".","28.6","14.3","14.3",".","14.3",".",".",".",".",".",".",".","."
"Aerodynamics Lab","522","001","","10","3.450","20.0","50.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Flight Dynamics and Control","523","001","","8","3.313","37.5","12.5","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Mechanical Vibrations","545","001","","35","2.914","25.7","22.9","14.3","17.1","8.6","5.7","5.7",".",".",".",".",".",".",".",".","."
"Engineering Analysis II","548","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Astrodynamics","550","001","","23","3.522","52.2","21.7","13.0","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","569","001","","18","3.222","33.3","22.2","16.7","22.2",".","5.6",".",".",".",".",".",".",".",".",".","."
"","599","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","6","3.654","50.0","33.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Adv Mech Testing-Materials","611","001","","17","3.676","58.8","17.6","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Satellite Dynamics","642","001","","19","2.750","5.3","21.1","36.8","5.3","15.8","10.5",".",".","5.3",".",".",".",".",".",".","."
"","690","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Adv Topics-Finite Elements","705","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Composite Material","708","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","","Page 124 of 409",""
