"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"AGRONOMY","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","22","3.583","63.6","4.5","31.8",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Junior","","57","3.490","52.6","22.8","8.8","7.0","5.3","1.8",".",".",".",".","",".",".","1.8",".",".","."
"Senior","","107","3.114","30.8","24.3","21.5","7.5","9.3","2.8","2.8",".",".",".","",".",".","0.9",".",".","."
"Undergraduates","","187","3.278","41.2","21.9","18.7","6.4","7.0","2.1","1.6",".",".",".","",".",".","1.1",".",".","."
"Special","","3","3.000",".",".","66.7",".",".",".",".","33.3",".",".","",".",".",".",".",".","."
"Graduate","","76","3.895","43.4","3.9","2.6",".",".",".",".","23.7","1.3",".","",".","25.0",".",".",".","."
"","Dept. Total","266","3.342","41.4","16.5","14.7","4.5","4.9","1.5","1.1","7.1","0.4",".","",".","7.1","0.8",".",".","."
