"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"","101
001","","16","3.688","68.8","6.3","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
101","","19","3.684","63.2","10.5","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","","22","3.591","45.5","31.8","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","","14","3.429","50.0","14.3","28.6",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"First Semester German","Course Total","","71","3.606","56.3","16.9","22.5","2.8",".","1.4",".",".",".",".",".",".",".",".",".","."
"","102
001","","17","3.265","23.5","29.4","29.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","002
102","","23","3.261","30.4","21.7","34.8","4.3","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","102
003","","21","3.643","57.1","19.0","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","","22","3.409","59.1","9.1","13.6","9.1","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","006
102","","16","3.250","56.3",".","18.8","12.5",".","12.5",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","","99","3.374","45.5","16.2","23.2","8.1","3.0","3.0","1.0",".",".",".",".",".",".",".",".","."
"Second Semester Dutch","001
112","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","","24","3.563","75.0",".","4.2","12.5","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"","203
003","","22","3.682","72.7","18.2","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","","46","3.620","73.9","8.7","4.3","6.5","2.2","2.2","2.2",".",".",".",".",".",".",".",".","."
"","003
204","","22","3.841","77.3","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
004","","19","3.684","73.7","5.3","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","204
005","","22","3.523","50.0","22.7","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","","63","3.683","66.7","14.3","12.7","1.6","4.8",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Dutch","214
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","249
002","","18","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","249
003","","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","249
004","","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed German-Speak & Listen","Course Total","","51","3.814","72.5","17.6","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","258
001","","17","3.765","70.6","11.8","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","258
002","","20","3.632","50.0","30.0","5.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","258
003","","20","3.625","60.0","15.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Reading","Course Total","","57","3.670","59.6","19.3","12.3","7.0",".",".",".","1.8",".",".",".",".",".",".",".","."
"","262
001","","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
262","","16","3.563","31.3","50.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Writing","Course Total","","31","3.677","48.4","38.7","12.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"German Immigration Experience","271
001","","36","3.323","16.7","41.7","16.7","8.3",".","2.8",".","13.9",".",".",".",".",".",".",".","."
"Nazi Culture","272
001","","86","3.388","43.0","16.3","24.4","4.7","10.5",".",".","1.2",".",".",".",".",".",".",".","."
"Topics in German Culture","278
001","","28","3.981","92.9","3.6",".",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"Directed Study","299
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lit des 20. & 21. Jahrhunderts","305
001","","10","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"2nd Sem Dutch-Grad Stdts","312
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem Dutch-Grad Stdts","314
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Dutch Literature","325
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Compositn & Conversatn","337
001","","19","3.632","36.8","52.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-German Linguistics","352
001","","15","3.400","33.3","53.3","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Topics in German Literature","362
001","","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
001","","22","3.727","68.2","27.3",".",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","Page 223 of 409",""
