"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"682","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","082","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","13","3.917","76.9","15.4",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"704
Topics in Contemporary History","001","","16","4.000","62.5",".",".",".",".",".",".","6.3",".",".",".",".","25.0",".","6.3","."
"705
Topics in Global History","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"706
Topics-Transnational History","001","","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"707
Erly Mod Eurp His,1500-1789","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"755","001","","11","3.778","54.5","18.2","9.1",".",".",".",".","9.1",".",".",".",".","9.1",".",".","."
"755","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prosem-S E Asian History","Course Total","","12","3.800","58.3","16.7","8.3",".",".",".",".","8.3",".",".",".",".","8.3",".",".","."
"795
Quantitative Meth-Hist Rsch","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"800
Research Seminar in History","002","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"801
Seminar-Ancient History","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"804
Interdis W Europ Studies Sm","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"819
History of Mass Communication","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"822
Studies in Economic History","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"829
Resrch Smr-Latin Amer Hist","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"837
Smr: Mod Britain & Ireland","001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"857
Smr-Hist of India (S Asia)","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"861
Seminar-History of Africa","001","","6","3.875","50.0","16.7",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"867
Smr:European Soc&Intel Hist","001","","6","3.875","50.0","16.7",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"891
Prosem-Mod European History","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Studies in American History","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"941
Indians and Empires","001","","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"978
Practice Teaching","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","Page 230 of 409",""
