"","699
005","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
009","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
012","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Project","Course Total","3","***","","","","","","","","","","","","","","","","","",""
"DANCE
741","Dept. Total","940","3.832","78.7","11.0","4.8","1.0","1.0","0.2","0.4","2.3","0.1",".","",".","",".","0.3","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","65","3.833","78.5","10.8","4.6","3.1",".",".","1.5","1.5",".",".","",".","",".",".",".",".","."
"Sophomore","","189","3.779","76.2","11.1","6.9","2.1","1.1",".","0.5","0.5",".",".","",".","",".","1.1","0.5",".","."
"Junior","","215","3.863","81.9","13.5","2.3","0.5",".",".","0.9",".","0.5",".","",".","",".",".","0.5",".","."
"Senior","","430","3.858","79.5","9.8","4.7","0.2","1.4","0.5",".","3.7",".",".","",".","",".","0.2",".",".","."
"Undergraduates","","899","3.840","79.3","11.0","4.6","0.9","0.9","0.2","0.4","2.0","0.1",".","",".","",".","0.3","0.2",".","."
"Special","","24","3.500","62.5","12.5","16.7","4.2",".",".",".","4.2",".",".","",".","",".",".",".",".","."
"Graduate","","18","3.833","72.2","5.6",".",".","5.6",".",".","16.7",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","Dept. Total","943","3.832","78.8","10.9","4.8","1.0","1.0","0.2","0.4","2.3","0.1",".","",".","",".","0.3","0.2",".","."
