"ART EDUCATION (DEPT OF ART) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","",""
"","322
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","322
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Visual Learning Design","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design Education","326
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg-Elem School Art","423
001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg-Secondary Sch Art","424
001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art-Exceptional Education","570
001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading & Rsch","699
061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Independent Reading","999
061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"ART ED
176","Dept. Total","","41","3.868","80.5","17.1","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
