"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","243","3.158","5.8","42.0","33.7","16.9","0.8","0.8",".",".",".",".",".",".",".",".",".","."
"","002
300","221","3.039","3.2","39.8","32.6","14.0","8.1","1.4","0.5","0.5",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","464","3.102","4.5","40.9","33.2","15.5","4.3","1.1","0.2","0.2",".",".",".",".",".",".",".","."
"","001
305","61","3.410","39.3","19.7","29.5","6.6","4.9",".",".",".",".",".",".",".",".",".",".","."
"","305
002","57","3.184","28.1","22.8","22.8","10.5","15.8",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","118","3.301","33.9","21.2","26.3","8.5","10.2",".",".",".",".",".",".",".",".",".",".","."
"","310
001","50","3.300","18.0","40.0","26.0","16.0",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","48","3.302","25.0","25.0","37.5","10.4","2.1",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","98","3.301","21.4","32.7","31.6","13.3","1.0",".",".",".",".",".",".",".",".",".",".","."
"","365
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","32","3.438","28.1","34.4","34.4","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","003
365","27","3.407","25.9","33.3","37.0","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","68","3.452","36.8","29.4","30.9","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","399
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
138","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","2","***","","","","","","","","","","","","","","","",""
"","415
001","61","3.475","32.8","29.5","34.4","1.6",".",".",".","1.6",".",".",".",".",".",".",".","."
"","002
415","43","3.593","30.2","58.1","11.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","104","3.524","31.7","41.3","25.0","1.0",".",".",".","1.0",".",".",".",".",".",".",".","."
"Global Marketing Strategy","420
001","32","3.531","43.8","31.3","15.6","6.3","3.1",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","36","3.569","47.2","22.2","27.8","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement & Supply Managemnt","423
001","37","3.270","13.5","43.2","29.7","10.8","2.7",".",".",".",".",".",".",".",".",".",".","."
"Enterprise Sys & Supply Chain","427
001","49","3.337","20.4","36.7","32.7","10.2",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","44","3.443","22.7","47.7","25.0","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","460
002","39","3.308","23.1","38.5","28.2","7.7",".",".","2.6",".",".",".",".",".",".",".",".","."
"","460
003","21","3.619","38.1","47.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","104","3.428","26.0","44.2","24.0","4.8",".",".","1.0",".",".",".",".",".",".",".",".","."
"Sales Management","635
001","32","3.656","50.0","43.8","3.1",".",".","3.1",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","25","3.640","28.0","72.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","715
001","33","3.563","36.4","36.4","24.2",".",".",".",".",".",".",".",".",".",".",".","3.0","."
"Strategic Global Sourcing","724
001","36","3.639","36.1","58.3","2.8","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Enterprise Sys & Supply Chain","727
001","43","3.709","55.8","30.2","14.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Developg New Products:Practicm","737
001","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","21","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","37","3.757","75.7","8.1","10.8","2.7","2.7",".",".",".",".",".",".",".",".",".",".","."
"","765
003","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
005","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
006","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
007","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
030","62","3.661","54.8","22.6","22.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","178","3.744","73.0","14.0","11.8","0.6","0.6",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","799
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Quant Models in Marketing","815
001","35","3.529","31.4","42.9","25.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","Page 63 of 409"
