"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"462
Methods-Teaching Secondary PE","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"478
Elem Sch Phy Ed Stdt Tchg","001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"479
Secondary-Phys Ed Stdt Tchg","001","","8","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"499
Seminar-Athletic Training","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Health Info for Teachers","001","","68","3.728","54.4","36.8","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"508","002","","31","3.161","12.9","25.8","51.6",".","9.7",".",".",".",".",".",".",".",".",".",".","."
"508","004","","56","3.591","46.4","32.1","10.7","8.9",".",".",".",".",".",".",".",".",".",".",".","1.8"
"508","005","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"508","006","","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Workshop in Kinesiology","Course Total","","125","3.567","49.6","24.0","18.4","4.0","2.4",".",".",".",".",".",".",".","0.8",".",".","0.8"
"523
Clinic Exercise Test&Train","001","","42","3.310","21.4","42.9","14.3","19.0","2.4",".",".",".",".",".",".",".",".",".",".","."
"541
Org&Adm-School Hlth Progms","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"542
Teacher Ed-Alcohol & Drugs","001","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"614
Biol Factors-Exercise Perf","001","","46","3.348","23.9","32.6","37.0","2.2","4.3",".",".",".",".",".",".",".",".",".",".","."
"699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"700
Psychological Effects-Exercise","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"791
Physical Activity Epidemiology","001","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Seminar in Kinesiology","001","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"953
Human Biodynamics Seminar","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","21","",".",".",".",".",".",".",".","61.9",".",".",".","33.3","4.8",".",".","."
"999","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","5","***","","","","","","","","","","","","","","","",""
