"DESIGN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120
001","69","3.184","21.7","14.5","50.7","7.2","2.9",".","1.4","1.4",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures II","154
001","16","3.656","43.8","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Patternmaking for 3D Forms","215
001","9","3.333","22.2","44.4","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220
001","28","3.630","42.9","39.3","10.7","3.6",".",".",".",".",".",".",".",".","3.6",".",".","."
"Apparel Design I","225
001","14","3.714","64.3","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227
001","21","3.786","61.9","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228
001","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Science","251
001","30","3.500","40.0","30.0","23.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Dimensions-Material Culture","264
001","7","3.143",".","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Interior Design II","322
001","23","3.478","43.5","34.8","4.3","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"Sustainabl Residntl Constructn","356
001","31","3.226","25.8","41.9","12.9","3.2","12.9",".","3.2",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving II","429
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Textiles","430
001","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Color Theory and Technology","451
001","17","3.438","35.3","35.3","5.9","11.8","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"Interdis Studies in the Arts","469
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
001","46","3.717","69.6","10.9","15.2","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"","501
002","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
501","15","3.857","73.3","13.3","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","501
004","32","3.806","62.5","31.3","3.1",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"","501
005","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
006","11","3.950","81.8","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","501
007","7","3.938","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","009
501","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
010","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
011","10","2.950","10.0","30.0","30.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","501
012","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
016","23","3.587","17.4","82.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
017","6","3.654","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","226","3.759","65.5","23.9","7.1","1.3","0.4","0.4",".","0.9",".",".",".",".","0.4",".",".","."
"","601
001","15","3.964","86.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","601
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","19","3.942","84.2","10.5",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Interior Design III","622
001","26","3.731","57.7","30.8","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","691
032","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","8","3.680","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
032","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","Page 151 of 409",""
