"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","137","3.011","21.9","21.2","16.8","16.1","20.4","1.5",".","2.2",".",".",".",".",".",".",".","."
"","002
300","213","2.884","15.5","19.2","24.9","13.1","23.9","2.3","0.5",".",".",".",".",".","0.5",".",".","."
"Introduction to Finance","Course Total","350","2.934","18.0","20.0","21.7","14.3","22.6","2.0","0.3","0.9",".",".",".",".","0.3",".",".","."
"","001
305","16","3.156","31.3","18.8","18.8","12.5","18.8",".",".",".",".",".",".",".",".",".",".","."
"","305
002","25","3.060","28.0","12.0","32.0",".","28.0",".",".",".",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","41","3.098","29.3","14.6","26.8","4.9","24.4",".",".",".",".",".",".",".",".",".",".","."
"","320
001","41","3.427","36.6","29.3","17.1","17.1",".",".",".",".",".",".",".",".",".",".",".","."
"","320
002","40","3.225","20.0","27.5","30.0","22.5",".",".",".",".",".",".",".",".",".",".",".","."
"","320
003","42","3.298","21.4","35.7","23.8","19.0",".",".",".",".",".",".",".",".",".",".",".","."
"","004
320","43","3.291","27.9","27.9","23.3","16.3","4.7",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","166","3.310","26.5","30.1","23.5","18.7","1.2",".",".",".",".",".",".",".",".",".",".","."
"","325
001","25","3.200","20.0","24.0","32.0","24.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
325","34","3.441","38.2","23.5","26.5","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","325
003","15","3.400","40.0","20.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","004
325","43","3.256","27.9","18.6","39.5","4.7","9.3",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","117","3.316","30.8","21.4","31.6","12.8","3.4",".",".",".",".",".",".",".",".",".",".","."
"","001
330","49","3.214","12.2","40.8","32.7","10.2","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"","330
002","37","3.189","27.0","21.6","32.4","10.8","2.7","5.4",".",".",".",".",".",".",".",".",".","."
"","330
003","16","3.563","50.0","31.3","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","102","3.260","23.5","32.4","28.4","9.8","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"","365
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","24","3.542","41.7","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","14","3.792","71.4","7.1",".",".","7.1",".",".","14.3",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","55","3.698","60.0","18.2","16.4",".","1.8",".",".","3.6",".",".",".",".",".",".",".","."
"","399
023","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bank Management","410
001","81","3.377","24.7","32.1","38.3","3.7","1.2",".",".",".",".",".",".",".",".",".",".","."
"Investmt Bankg & Capital Mrkts","420
001","22","3.705","54.5","31.8","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","25","3.440","28.0","40.0","24.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Bank Simulation and Strategy","610
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","15","3.400","40.0","13.3","40.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","635
002","18","3.722","61.1","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Security Analysis","Course Total","33","3.576","51.5","18.2","27.3",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","700
031","33","3.781","69.7","18.2","3.0","6.1",".",".",".",".",".",".",".",".","3.0",".",".","."
"Valuatn&Corp Investmnt Decisns","726
001","43","3.721","55.8","32.6","11.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Raising Capital&Financing Firm","727
001","31","3.452","25.8","38.7","35.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Applied Portfolio Mgt","736
001","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anal-Fixed Income Securities","740
001","10","3.550","60.0",".","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","745
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
745","33","3.273","30.3","12.1","39.4","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","031
745","34","3.765","52.9","47.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
