"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Thesis","Course Total","","38","",".",".",".",".",".",".",".","81.6","2.6",".",".","15.8",".",".",".","."
"999
Independent Research Prob","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"JOURN
512","Dept. Total","","1454","3.559","48.1","25.9","15.8","2.5","1.6","0.5","0.3","2.3","0.1","1.8",".","0.5","0.3",".","0.2","."
