"BUS","","","","","","","","","","","","","","","","","","","","",""
"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","","","",""
"OTM
238","Dept. Total","858","3.429","37.4","28.6","21.8","8.4","2.9","0.1","0.2","0.2","",".",".","",".","0.1","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","60","3.068","11.7","26.7","31.7","20.0","8.3",".",".",".","",".",".","",".",".","1.7",".",".","."
"Junior","","179","3.196","22.9","26.3","24.0","20.7","6.1",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","","178","3.365","33.7","25.3","25.3","11.8","3.9",".",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","417","3.250","25.9","25.9","25.7","16.8","5.5",".",".",".","",".",".","",".",".","0.2",".",".","."
"Special","","5","3.300","40.0",".","40.0","20.0",".",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","427","3.621","48.2","31.6","18.0",".","0.5","0.2","0.5","0.5","",".",".","",".","0.2","0.2",".",".","."
"Prof Yr 3","","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","2","3.750","50.0","50.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","9","3.611","55.6","22.2","11.1","11.1",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","858","3.429","37.4","28.6","21.8","8.4","2.9","0.1","0.2","0.2","",".",".","",".","0.1","0.2",".",".","."
