"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"Divides&Differences-Multicultr","202
001","","188","3.801","79.3","11.7","5.3","1.6","0.5","1.1","0.5",".",".",".",".",".",".",".",".","."
"Intro to Digital Information","351
001","","23","3.043","21.7","13.0","43.5","13.0","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","451
001","","36","3.929","86.1","8.3","2.8",".",".",".",".",".",".",".",".",".","2.8",".",".","."
"","451
002","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","451
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Online Searching for Info Pro","Course Total","","64","3.960","92.2","4.7","1.6",".",".",".",".",".",".",".",".",".","1.6",".",".","."
"","551
001","","20","3.675","50.0","35.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
002","","26","3.654","53.8","26.9","15.4","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Organization of Information","Course Total","","46","3.663","52.2","30.4","15.2","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","001
616","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","616
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Records Management","Course Total","","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Information Systems","617
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
003","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","629
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","629
002","","9","3.778","77.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","629
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","629
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Multicult Lit-Chld&Yng Adlt","Course Total","","20","3.842","75.0","15.0",".","5.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"Young Adult Literature","631
001","","26","3.788","69.2","26.9",".",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","635
001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
640","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Library&Informatn St","Course Total","","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading Interests of Adults","642
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
001","","21","3.762","71.4","9.5","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
002","","20","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","Course Total","","45","3.800","75.6","8.9","15.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intellectual Freedom&Libr","645
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Books Print Cult Europe No Am","650
001","","7","3.800","42.9","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".","14.3","."
"","651
001","","19","3.711","42.1","57.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
002","","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Cataloging & Classification","Course Total","","25","3.620","36.0","56.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Document Structures & Metadata","652
001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Info Services Management","Course Total","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
