"DANCE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","1
001","24","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
1","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
1","30","3.740","70.0","3.3","3.3",".","3.3","3.3",".","10.0","3.3",".",".",".",".","3.3",".","."
"","1
004","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","1
005","14","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","1
006","41","3.963","92.7","7.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","1
007","42","3.875","85.7",".","4.8","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"","1
008","11","3.045","63.6","9.1",".",".","9.1",".","18.2",".",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","187","3.829","81.3","7.0","3.2","1.1","1.1","0.5","1.1","3.7","0.5",".",".",".",".","0.5",".","."
"Cont Dance Technique&Theory II","112
001","15","3.700","60.0","33.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","118
001","36","4.000","97.2",".",".",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"","118
002","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Dance","Course Total","66","4.000","98.5",".",".",".",".",".",".","1.5",".",".",".",".",".",".",".","."
"Asian American Movement","121
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","126
001","16","3.500","56.3","25.0",".",".","6.3",".","6.3","6.3",".",".",".",".",".",".",".","."
"","126
002","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I-B","Course Total","27","3.592","59.3","29.6",".",".","3.7",".","3.7","3.7",".",".",".",".",".",".",".","."
"Somatic Theory and Practices","131
001","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","135
001","33","3.806","75.8","6.1","9.1",".","3.0",".",".","6.1",".",".",".",".",".",".",".","."
"","135
002","47","3.859","83.0","10.6","2.1",".",".","2.1",".","2.1",".",".",".",".",".",".",".","."
"","135
003","39","3.821","74.4","17.9","5.1","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","135
004","50","3.898","84.0","10.0","2.0","2.0",".",".",".",".",".",".",".",".","2.0",".",".","."
"Pilates Mat I","Course Total","169","3.852","79.9","11.2","4.1","1.2","0.6","0.6",".","1.8",".",".",".",".","0.6",".",".","."
"Pilates Equipment Lab I","136
001","8","3.643","37.5","37.5","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Dance Production","140
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Movemnt as Matl Thru Improv","156
001","21","3.833","71.4","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Movement Analysis","157
001","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collaborative Arts Workshop","159
001","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","2
001","27","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
2","42","3.881","83.3","11.9","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","2
003","51","3.727","64.7","7.8","7.8",".","5.9",".",".","13.7",".",".",".",".",".",".",".","."
"","2
004","49","3.870","85.7","4.1","2.0",".",".",".","2.0","4.1",".",".",".",".","2.0",".",".","."
"Ballroom Dance I","Course Total","169","3.827","77.5","8.3","5.3","0.6","1.8",".","0.6","5.3",".",".",".",".","0.6",".",".","."
"Dance","205
001","11","3.455","36.4","27.3","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","212
001","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","12","3.950","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Dance Tech & Th IV","Course Total","28","3.897","82.1","17.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"New Movement Techniques","213
001","17","3.765","70.6","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","226
001","11","3.833","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
002","10","3.316","30.0","20.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique II-B","Course Total","21","3.588","47.6","28.6","19.0",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Dance Production Laboratory","240
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Collaborative Arts Perform Lab","259
001","15","3.750","60.0","20.0","13.3",".",".",".",".",".",".",".",".",".",".","6.7",".","."
