"ITALIAN (FRENCH AND ITALIAN) Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"Course Total
Individual Research","10","",".",".",".",".",".",".",".","60.0",".",".",".","40.0","",".",".",".","."
"ITALIAN
Dept. Total
508","415","3.611","56.6","21.9","10.6","3.4","2.9","1.0","0.5","1.9",".",".",".","1.0","",".",".","0.2","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"Freshmen","62","3.565","51.6","25.8","12.9","3.2","6.5",".",".",".",".",".",".",".","",".",".",".","."
"Sophomore","114","3.694","60.5","23.7","11.4","1.8","0.9","0.9",".","0.9",".",".",".",".","",".",".",".","."
"Junior","95","3.597","52.6","29.5","10.5","4.2","2.1",".","1.1",".",".",".",".",".","",".",".",".","."
"Senior","85","3.389","48.2","20.0","14.1","7.1","5.9","3.5","1.2",".",".",".",".",".","",".",".",".","."
"Undergraduates","356","3.575","53.9","24.7","12.1","3.9","3.4","1.1","0.6","0.3",".",".",".",".","",".",".",".","."
"Special","6","4.000","66.7",".",".",".",".",".",".","16.7",".",".",".",".","",".",".","16.7","."
"Graduate","53","3.937","73.6","5.7","1.9",".",".",".",".","11.3",".",".",".","7.5","",".",".",".","."
"Dept. Total","415","3.611","56.6","21.9","10.6","3.4","2.9","1.0","0.5","1.9",".",".",".","1.0","",".",".","0.2","."
