"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"205
Dairy Cattle Selection","001","","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","15","2.633","13.3","13.3","26.7","6.7","26.7","13.3",".",".",".",".",".",".",".",".",".","."
"313","001","","7","3.429","71.4",".","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"313","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Feeds&Diet Formulatn","Course Total","","17","3.765","88.2",".","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"320
Animal Health & Disease Mgt","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"361
Intro to Animal & Vet Genetics","001","","16","2.563","18.8",".","25.0",".","50.0","6.3",".",".",".",".",".",".",".",".",".","."
"362
Veterinary Genetics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"363
Principles of Animal Breeding","001","","14","3.036","35.7","7.1","35.7",".","14.3",".","7.1",".",".",".",".",".",".",".",".","."
"375","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","003","","7","2.786","42.9",".",".","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","34","3.750","88.2",".",".","2.9","5.9","2.9",".",".",".",".",".",".",".",".",".","."
"399","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","8","3.900","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"535
Dairy Farm Mgmt Practicum","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","5","***","","","","","","","","","","","","","","","",""
"799","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Dairy Science Tchng","Course Total","","3","***","","","","","","","","","","","","","","","",""
"900","001","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","007","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","011","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"900","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","55","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","","Page 17 of 409"
