"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"Medievl, Renais&Early Mod Lit","Course Total","","30","3.867","86.7","6.7","3.3",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"322","001","","15","3.433","26.7","46.7","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"322","002","","13","3.577","23.1","69.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Lit of Modernity","Course Total","","28","3.500","25.0","57.1","10.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"347
Medievl, Renais&Early Mod Civ","001","","22","3.705","63.6","13.6","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"348
Modernity Studies","001","","18","3.472","44.4","22.2","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"429
Intro to Romance Languages","001","","6","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"461
French/Francophone Lit Studies","001","","14","3.731","57.1","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","7.1"
"462
French/Francophone Cultrl Stdy","001","","12","3.667","50.0","41.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"595
Thry/Prac-Francophone Drama","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Communication orale","001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"642
Culture et societes","001","","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"665
Intro aux etudes francphone","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699
Directed Study","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"793
Prof French Masters Prg Intern","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","024","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"804
Interdis W Europ Studies Sm","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"821
Issues-Mthds Teachng Fr&Itl","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"826
Grammaire Et Style","001","","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"939
La Litterature Medievale","001","","13","3.773","53.8","23.1","7.7",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","","21","",".",".",".",".",".",".",".","61.9",".",".",".","33.3",".","4.8",".","."
