"L&S","","","","","","","","","","","","","","","","","","","",""
"EAST ASIAN AREA STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","",""
"Intro East Asian Civilizations","255
002","","30","3.267","36.7","16.7","23.3","10.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"Humanities Topics in EAS","300
001","","30","3.283","20.0","30.0","40.0","6.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"","301
001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","","70","3.993","97.1","1.4",".",".",".",".",".",".",".",".",".",".","1.4",".",".","."
"Social Studies Topics in EAS","Course Total","","79","3.968","92.4","6.3",".",".",".",".",".",".",".",".",".",".","1.3",".",".","."
"Senior Honors Thesis","682
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"E A STDS
298","Dept. Total","","141","3.671","65.2","13.5","13.5","3.5","3.5",".",".",".",".",".",".",".","0.7",".",".","."
