"GENETICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","112","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","120","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","47","3.971","95.7","2.1","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","001","","58","3.970","94.8","3.4","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","005","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","77","3.976","96.1","2.6","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"466
General Genetics","001","","176","2.664","15.9","9.7","24.4","10.2","30.1","6.8","1.7",".",".",".",".",".","1.1",".",".","."
"471
Advanced Laboratory Procedures","001","","6","3.500","33.3","16.7","33.3",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"545","001","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"545","002","","11","3.545","45.5","18.2","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genetics Laboratory","Course Total","","22","3.636","50.0","27.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"562
Human Cytogenetics","001","","21","3.400","23.8","42.9","14.3","14.3",".",".",".","4.8",".",".",".",".",".",".",".","."
"564
Genomics & Proteomics","001","","20","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"566
Advanced Genetics","001","","62","3.677","64.5","11.3","21.0","1.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"568
The Central Nervous System","001","","6","3.167",".","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"569
The Breast","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"574
The Gastrointestinal System","001","","6","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"575
Miscellaneous Systems","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"576
Effusions","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"577
Applied Cytology I","001","","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"660
Evolutionary Genomics","001","","18","3.333","16.7","38.9","11.1","16.7",".",".",".","11.1",".",".",".",".","5.6",".",".","."
"670
Seminar-Clinical Cytogenetics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"672
Smr-Lab Operatns & Qual Contrl","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"673
Seminar in Clinical Cytology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"677","002","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"677","010","","8","3.765","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Topics in Genetics","Course Total","","19","3.846","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","","Page 27 of 409"
