"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"Strategic Mgmt of Innovation","715
001","49","3.533","40.8","24.5","22.4","6.1",".",".",".","6.1",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722
001","27","3.854","63.0","25.9",".",".",".",".",".",".",".",".",".",".","7.4",".","3.7","."
"","723
001","50","3.660","42.0","48.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
002","49","3.367","18.4","42.9","32.7","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"","723
003","18","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","117","3.487","28.2","43.6","25.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","728
001","38","3.776","65.8","23.7","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","728
002","17","3.765","70.6","11.8","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","Course Total","55","3.773","67.3","20.0","12.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bhv Anal-Mgt Decisn Making","729
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Venture Creation","734
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Weinert Appl Ventr in Entreshp","738
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technology Entrepreneurship","741
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
001","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","19","3.684","42.1","52.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
030","47","3.979","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
031","34","3.765","61.8","29.4","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","121","3.843","72.7","24.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Arts Administration","774
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Master's Research and Thesis","790
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
074","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
226","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Administrative Policy","870
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Doctoral Rsch Smr in Mgmt","976
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Emerging Entrepreneurship","977
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
080","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
129","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
133","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Read&Rsch-Mgmt&H Resrcs PhD","999
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
